,Course Names,Course Length,Course Descriptions,Chapter Names,Chapter Links
14,"Modern Robotics:  Mechanics, Planning, and Control Specialization",4,"This Specialization provides a rigorous treatment of spatial motion and the dynamics of rigid bodies, employing representations from modern screw theory and the product of exponentials formula. Students with a freshman-level engineering background will quickly learn to apply these tools to analysis, planning, and control of robot motion. Students' understanding of the mathematics of robotics will be solidified by writing robotics software. Students will test their software on a free state-of-the-art cross-platform robot simulator, allowing each student to have an authentic robot programming experience with industrial robot manipulators and mobile robots without purchasing expensive robot hardware. It is highly recommended that Courses 1-6 of the Specialization are taken in order, since the material builds on itself.","Modern Robotics, Course 4:  Robot Motion Planning and Control",https://www.coursera.org/learn/modernrobotics-course4?specialization=modernrobotics
15,Self-Driving Cars Specialization,4,"Be at the forefront of the autonomous driving industry. With market researchers predicting a $42-billion market and more than 20 million self-driving cars on the road by 2025, the next big job boom is right around the corner.

This Specialization gives you a comprehensive understanding of state-of-the-art engineering practices used in the self-driving car industry. You'll get to interact with real data sets from an autonomous vehicle (AV)âall through hands-on projects using the open source simulator CARLA.

Throughout your courses, youâll hear from industry experts who work at companies like Oxbotica and Zoox as they share insights about autonomous technology and how that is powering job growth within the field.

Youâll learn from a highly realistic driving environment that features 3D pedestrian modelling and environmental conditions. When you complete the Specialization successfully, youâll be able to build your own self-driving software stack and be ready to apply for jobs in the autonomous vehicle industry.

It is recommended that you have some background in linear algebra, probability, statistics, calculus, physics, control theory, and Python programming. You will need these specifications in order to effectively run the CARLA simulator: Windows 7 64-bit (or later) or Ubuntu 16.04 (or later), Quad-core Intel or AMD processor (2.5 GHz or faster), NVIDIA GeForce 470 GTX or AMD Radeon 6870 HD series card or higher, 8 GB RAM, and OpenGL 3 or greater (for Linux computers).",Introduction to Self-Driving Cars,https://www.coursera.org/learn/intro-self-driving-cars
16,Self-Driving Cars Specialization,4,"Be at the forefront of the autonomous driving industry. With market researchers predicting a $42-billion market and more than 20 million self-driving cars on the road by 2025, the next big job boom is right around the corner.

This Specialization gives you a comprehensive understanding of state-of-the-art engineering practices used in the self-driving car industry. You'll get to interact with real data sets from an autonomous vehicle (AV)âall through hands-on projects using the open source simulator CARLA.

Throughout your courses, youâll hear from industry experts who work at companies like Oxbotica and Zoox as they share insights about autonomous technology and how that is powering job growth within the field.

Youâll learn from a highly realistic driving environment that features 3D pedestrian modelling and environmental conditions. When you complete the Specialization successfully, youâll be able to build your own self-driving software stack and be ready to apply for jobs in the autonomous vehicle industry.

It is recommended that you have some background in linear algebra, probability, statistics, calculus, physics, control theory, and Python programming. You will need these specifications in order to effectively run the CARLA simulator: Windows 7 64-bit (or later) or Ubuntu 16.04 (or later), Quad-core Intel or AMD processor (2.5 GHz or faster), NVIDIA GeForce 470 GTX or AMD Radeon 6870 HD series card or higher, 8 GB RAM, and OpenGL 3 or greater (for Linux computers).",State Estimation and Localization for Self-Driving Cars,https://www.coursera.org/learn/state-estimation-localization-self-driving-cars
17,Self-Driving Cars Specialization,4,"Be at the forefront of the autonomous driving industry. With market researchers predicting a $42-billion market and more than 20 million self-driving cars on the road by 2025, the next big job boom is right around the corner.

This Specialization gives you a comprehensive understanding of state-of-the-art engineering practices used in the self-driving car industry. You'll get to interact with real data sets from an autonomous vehicle (AV)âall through hands-on projects using the open source simulator CARLA.

Throughout your courses, youâll hear from industry experts who work at companies like Oxbotica and Zoox as they share insights about autonomous technology and how that is powering job growth within the field.

Youâll learn from a highly realistic driving environment that features 3D pedestrian modelling and environmental conditions. When you complete the Specialization successfully, youâll be able to build your own self-driving software stack and be ready to apply for jobs in the autonomous vehicle industry.

It is recommended that you have some background in linear algebra, probability, statistics, calculus, physics, control theory, and Python programming. You will need these specifications in order to effectively run the CARLA simulator: Windows 7 64-bit (or later) or Ubuntu 16.04 (or later), Quad-core Intel or AMD processor (2.5 GHz or faster), NVIDIA GeForce 470 GTX or AMD Radeon 6870 HD series card or higher, 8 GB RAM, and OpenGL 3 or greater (for Linux computers).",Visual Perception for Self-Driving Cars,https://www.coursera.org/learn/visual-perception-self-driving-cars
18,Self-Driving Cars Specialization,4,"Be at the forefront of the autonomous driving industry. With market researchers predicting a $42-billion market and more than 20 million self-driving cars on the road by 2025, the next big job boom is right around the corner.

This Specialization gives you a comprehensive understanding of state-of-the-art engineering practices used in the self-driving car industry. You'll get to interact with real data sets from an autonomous vehicle (AV)âall through hands-on projects using the open source simulator CARLA.

Throughout your courses, youâll hear from industry experts who work at companies like Oxbotica and Zoox as they share insights about autonomous technology and how that is powering job growth within the field.

Youâll learn from a highly realistic driving environment that features 3D pedestrian modelling and environmental conditions. When you complete the Specialization successfully, youâll be able to build your own self-driving software stack and be ready to apply for jobs in the autonomous vehicle industry.

It is recommended that you have some background in linear algebra, probability, statistics, calculus, physics, control theory, and Python programming. You will need these specifications in order to effectively run the CARLA simulator: Windows 7 64-bit (or later) or Ubuntu 16.04 (or later), Quad-core Intel or AMD processor (2.5 GHz or faster), NVIDIA GeForce 470 GTX or AMD Radeon 6870 HD series card or higher, 8 GB RAM, and OpenGL 3 or greater (for Linux computers).",Motion Planning for Self-Driving Cars,https://www.coursera.org/learn/motion-planning-self-driving-cars
19,Introduction to Data Science Specialization,4,"In this Specialization learners will develop foundational Data Science skills to prepare them for a career or further learning that involves more advanced topics in Data Science. The specialization entails understanding what is Data Science and the various kinds of activities that a Data Scientist performs. It will familiarize learners with various open source tools, like Jupyter notebooks, used by Data Scientists. It will teach you about methodology involved in tackling data science problems. The specialization also provides knowledge of relational database concepts and the use of SQL to query databases. Learners will complete hands-on labs and projects to apply their newly acquired skills and knowledge.Upon receiving the certificate for completion of the specialization, you will also receive an IBM Badge as a Specialist in Data Science Foundations.

LIMITED TIME OFFER: Subscription is only $39 USD per month and gives you access to graded materials and a certificate.",What is Data Science? ,https://www.coursera.org/learn/what-is-datascience
20,Introduction to Data Science Specialization,4,"In this Specialization learners will develop foundational Data Science skills to prepare them for a career or further learning that involves more advanced topics in Data Science. The specialization entails understanding what is Data Science and the various kinds of activities that a Data Scientist performs. It will familiarize learners with various open source tools, like Jupyter notebooks, used by Data Scientists. It will teach you about methodology involved in tackling data science problems. The specialization also provides knowledge of relational database concepts and the use of SQL to query databases. Learners will complete hands-on labs and projects to apply their newly acquired skills and knowledge.Upon receiving the certificate for completion of the specialization, you will also receive an IBM Badge as a Specialist in Data Science Foundations.

LIMITED TIME OFFER: Subscription is only $39 USD per month and gives you access to graded materials and a certificate.",Open Source tools for Data Science,https://www.coursera.org/learn/open-source-tools-for-data-science
21,Introduction to Data Science Specialization,4,"In this Specialization learners will develop foundational Data Science skills to prepare them for a career or further learning that involves more advanced topics in Data Science. The specialization entails understanding what is Data Science and the various kinds of activities that a Data Scientist performs. It will familiarize learners with various open source tools, like Jupyter notebooks, used by Data Scientists. It will teach you about methodology involved in tackling data science problems. The specialization also provides knowledge of relational database concepts and the use of SQL to query databases. Learners will complete hands-on labs and projects to apply their newly acquired skills and knowledge.Upon receiving the certificate for completion of the specialization, you will also receive an IBM Badge as a Specialist in Data Science Foundations.

LIMITED TIME OFFER: Subscription is only $39 USD per month and gives you access to graded materials and a certificate.",Data Science Methodology,https://www.coursera.org/learn/data-science-methodology
22,Introduction to Data Science Specialization,4,"In this Specialization learners will develop foundational Data Science skills to prepare them for a career or further learning that involves more advanced topics in Data Science. The specialization entails understanding what is Data Science and the various kinds of activities that a Data Scientist performs. It will familiarize learners with various open source tools, like Jupyter notebooks, used by Data Scientists. It will teach you about methodology involved in tackling data science problems. The specialization also provides knowledge of relational database concepts and the use of SQL to query databases. Learners will complete hands-on labs and projects to apply their newly acquired skills and knowledge.Upon receiving the certificate for completion of the specialization, you will also receive an IBM Badge as a Specialist in Data Science Foundations.

LIMITED TIME OFFER: Subscription is only $39 USD per month and gives you access to graded materials and a certificate.",Databases and SQL for Data Science,https://www.coursera.org/learn/sql-data-science
23,Python for Everybody Specialization,4,"This Specialization builds on the success of the Python for Everybody course and will introduce fundamental programming concepts including data structures, networked application program interfaces, and databases, using the Python programming language. In the Capstone Project, youâll use the technologies learned throughout the Specialization to design and create your own applications for data retrieval, processing, and visualization.",Programming for Everybody (Getting Started with Python),https://www.coursera.org/learn/python?specialization=python
24,Python for Everybody Specialization,4,"This Specialization builds on the success of the Python for Everybody course and will introduce fundamental programming concepts including data structures, networked application program interfaces, and databases, using the Python programming language. In the Capstone Project, youâll use the technologies learned throughout the Specialization to design and create your own applications for data retrieval, processing, and visualization.",Python Data Structures,https://www.coursera.org/learn/python-data?specialization=python
25,Python for Everybody Specialization,4,"This Specialization builds on the success of the Python for Everybody course and will introduce fundamental programming concepts including data structures, networked application program interfaces, and databases, using the Python programming language. In the Capstone Project, youâll use the technologies learned throughout the Specialization to design and create your own applications for data retrieval, processing, and visualization.",Using Python to Access Web Data,https://www.coursera.org/learn/python-network-data?specialization=python
26,Python for Everybody Specialization,4,"This Specialization builds on the success of the Python for Everybody course and will introduce fundamental programming concepts including data structures, networked application program interfaces, and databases, using the Python programming language. In the Capstone Project, youâll use the technologies learned throughout the Specialization to design and create your own applications for data retrieval, processing, and visualization.",Using Databases with Python,https://www.coursera.org/learn/python-databases?specialization=python
27,Data Science: Foundations using R Specialization,4,"Ask the right questions, manipulate data sets, and create visualizations to communicate results.This Specialization covers foundational data science tools and techniques, including getting, cleaning, and exploring data, programming in R, and conducting reproducible research. Learners who complete this specialization will be prepared to take the Data Science: Statistics and Machine Learning specialization, in which they build a data product using real-world data.

The five courses in this specialization are the very same courses that make up the first half of the Data Science Specialization. This specialization is presented for learners who want to start and complete the foundational part of the curriculum first, before moving onto the more advanced topics in Data Science: Statistics and Machine Learning.",The Data Scientist’s Toolbox,https://www.coursera.org/learn/data-scientists-tools?specialization=data-science-foundations-r
28,Data Science: Foundations using R Specialization,4,"Ask the right questions, manipulate data sets, and create visualizations to communicate results.This Specialization covers foundational data science tools and techniques, including getting, cleaning, and exploring data, programming in R, and conducting reproducible research. Learners who complete this specialization will be prepared to take the Data Science: Statistics and Machine Learning specialization, in which they build a data product using real-world data.

The five courses in this specialization are the very same courses that make up the first half of the Data Science Specialization. This specialization is presented for learners who want to start and complete the foundational part of the curriculum first, before moving onto the more advanced topics in Data Science: Statistics and Machine Learning.",R Programming,https://www.coursera.org/learn/r-programming?specialization=data-science-foundations-r
29,Data Science: Foundations using R Specialization,4,"Ask the right questions, manipulate data sets, and create visualizations to communicate results.This Specialization covers foundational data science tools and techniques, including getting, cleaning, and exploring data, programming in R, and conducting reproducible research. Learners who complete this specialization will be prepared to take the Data Science: Statistics and Machine Learning specialization, in which they build a data product using real-world data.

The five courses in this specialization are the very same courses that make up the first half of the Data Science Specialization. This specialization is presented for learners who want to start and complete the foundational part of the curriculum first, before moving onto the more advanced topics in Data Science: Statistics and Machine Learning.",Getting and Cleaning Data,https://www.coursera.org/learn/data-cleaning?specialization=data-science-foundations-r
30,Data Science: Foundations using R Specialization,4,"Ask the right questions, manipulate data sets, and create visualizations to communicate results.This Specialization covers foundational data science tools and techniques, including getting, cleaning, and exploring data, programming in R, and conducting reproducible research. Learners who complete this specialization will be prepared to take the Data Science: Statistics and Machine Learning specialization, in which they build a data product using real-world data.

The five courses in this specialization are the very same courses that make up the first half of the Data Science Specialization. This specialization is presented for learners who want to start and complete the foundational part of the curriculum first, before moving onto the more advanced topics in Data Science: Statistics and Machine Learning.",Exploratory Data Analysis,https://www.coursera.org/learn/exploratory-data-analysis?specialization=data-science-foundations-r
31,Business Analytics Specialization,4,"This Specialization provides an introduction to big data analytics for all business professionals, including those with no prior analytics experience. Youâll learn how data analysts describe, predict, and inform business decisions in the specific areas of marketing, human resources, finance, and operations, and youâll develop basic data literacy and an analytic mindset that will help you make strategic decisions based on data. In the final Capstone Project, youâll apply your skills to interpret a real-world data set and make appropriate business strategy recommendations.",Customer Analytics,https://www.coursera.org/learn/wharton-customer-analytics?specialization=business-analytics
32,Business Analytics Specialization,4,"This Specialization provides an introduction to big data analytics for all business professionals, including those with no prior analytics experience. Youâll learn how data analysts describe, predict, and inform business decisions in the specific areas of marketing, human resources, finance, and operations, and youâll develop basic data literacy and an analytic mindset that will help you make strategic decisions based on data. In the final Capstone Project, youâll apply your skills to interpret a real-world data set and make appropriate business strategy recommendations.",Operations Analytics,https://www.coursera.org/learn/wharton-operations-analytics?specialization=business-analytics
33,Business Analytics Specialization,4,"This Specialization provides an introduction to big data analytics for all business professionals, including those with no prior analytics experience. Youâll learn how data analysts describe, predict, and inform business decisions in the specific areas of marketing, human resources, finance, and operations, and youâll develop basic data literacy and an analytic mindset that will help you make strategic decisions based on data. In the final Capstone Project, youâll apply your skills to interpret a real-world data set and make appropriate business strategy recommendations.",People Analytics,https://www.coursera.org/learn/wharton-people-analytics?specialization=business-analytics
34,Business Analytics Specialization,4,"This Specialization provides an introduction to big data analytics for all business professionals, including those with no prior analytics experience. Youâll learn how data analysts describe, predict, and inform business decisions in the specific areas of marketing, human resources, finance, and operations, and youâll develop basic data literacy and an analytic mindset that will help you make strategic decisions based on data. In the final Capstone Project, youâll apply your skills to interpret a real-world data set and make appropriate business strategy recommendations.",Accounting Analytics,https://www.coursera.org/learn/accounting-analytics?specialization=business-analytics
35,UI / UX Design Specialization,4,"The UI/UX Design Specialization brings a design-centric approach to user interface and user experience design, and offers practical, skill-based instruction centered around a visual communications perspective, rather than on one focused on marketing or programming alone. In this sequence of four courses, you will summarize and demonstrate all stages of the UI/UX development process, from user research to defining a projectâs strategy, scope, and information architecture, to developing sitemaps and wireframes. Youâll learn current best practices and conventions in UX design and apply them to create effective and compelling screen-based experiences for websites or apps.

User interface and user experience design is a high-demand field, but the skills and knowledge you will learn in this Specialization are applicable to a wide variety of careers, from marketing to web design to human-computer interaction.

Learners enrolled in the UI/UX Design Specialization are eligible for an extended free trial (1 month) of a full product suite of UX tools from Optimal Workshop. Details are available in Course 3 of the Specialization, Web Design: Strategy and Information Architecture.",Visual Elements of User Interface Design,https://www.coursera.org/learn/visual-elements-user-interface-design
36,UI / UX Design Specialization,4,"The UI/UX Design Specialization brings a design-centric approach to user interface and user experience design, and offers practical, skill-based instruction centered around a visual communications perspective, rather than on one focused on marketing or programming alone. In this sequence of four courses, you will summarize and demonstrate all stages of the UI/UX development process, from user research to defining a projectâs strategy, scope, and information architecture, to developing sitemaps and wireframes. Youâll learn current best practices and conventions in UX design and apply them to create effective and compelling screen-based experiences for websites or apps.

User interface and user experience design is a high-demand field, but the skills and knowledge you will learn in this Specialization are applicable to a wide variety of careers, from marketing to web design to human-computer interaction.

Learners enrolled in the UI/UX Design Specialization are eligible for an extended free trial (1 month) of a full product suite of UX tools from Optimal Workshop. Details are available in Course 3 of the Specialization, Web Design: Strategy and Information Architecture.",UX Design Fundamentals,https://www.coursera.org/learn/ux-design-fundamentals
37,UI / UX Design Specialization,4,"The UI/UX Design Specialization brings a design-centric approach to user interface and user experience design, and offers practical, skill-based instruction centered around a visual communications perspective, rather than on one focused on marketing or programming alone. In this sequence of four courses, you will summarize and demonstrate all stages of the UI/UX development process, from user research to defining a projectâs strategy, scope, and information architecture, to developing sitemaps and wireframes. Youâll learn current best practices and conventions in UX design and apply them to create effective and compelling screen-based experiences for websites or apps.

User interface and user experience design is a high-demand field, but the skills and knowledge you will learn in this Specialization are applicable to a wide variety of careers, from marketing to web design to human-computer interaction.

Learners enrolled in the UI/UX Design Specialization are eligible for an extended free trial (1 month) of a full product suite of UX tools from Optimal Workshop. Details are available in Course 3 of the Specialization, Web Design: Strategy and Information Architecture.",Web Design: Strategy and Information Architecture,https://www.coursera.org/learn/web-design-strategy
38,UI / UX Design Specialization,4,"The UI/UX Design Specialization brings a design-centric approach to user interface and user experience design, and offers practical, skill-based instruction centered around a visual communications perspective, rather than on one focused on marketing or programming alone. In this sequence of four courses, you will summarize and demonstrate all stages of the UI/UX development process, from user research to defining a projectâs strategy, scope, and information architecture, to developing sitemaps and wireframes. Youâll learn current best practices and conventions in UX design and apply them to create effective and compelling screen-based experiences for websites or apps.

User interface and user experience design is a high-demand field, but the skills and knowledge you will learn in this Specialization are applicable to a wide variety of careers, from marketing to web design to human-computer interaction.

Learners enrolled in the UI/UX Design Specialization are eligible for an extended free trial (1 month) of a full product suite of UX tools from Optimal Workshop. Details are available in Course 3 of the Specialization, Web Design: Strategy and Information Architecture.",Web Design: Wireframes to Prototypes,https://www.coursera.org/learn/web-design-wireframes-prototypes
39,G Suite Administration Specialization,4,"The G Suite Administration Specialization has been developed to help administrators master the foundations of managing and establishing G Suite best practices for their organization.You will setup and configure a new G Suite account, and explore options for provisioning users, groups and resources. You will learn how to manage your users and also become familiar with organizational structures and G Suite core services such as Gmail, Calendar, and Drive & Docs. You will learn how to configure these services to meet your particular business needs for different parts of the organization.

In the security module you will be introduced to Google's best practices to protect your users and data. You will examine user and application security and become familiar with the Single Sign On (SSO) options available for your organization. You will be able to use the tools provided to identify security events and risks and mitigate problems that may arise.

Finally you will look at G Suite mail management. In this module you will configure email compliance and implement measures to protect your organization from spam, spoofing, phishing and malware attacks. You will also become familiar with the various mail routing options available.", Introduction to G Suite,https://www.coursera.org/learn/introduction-g-suite
40,G Suite Administration Specialization,4,"The G Suite Administration Specialization has been developed to help administrators master the foundations of managing and establishing G Suite best practices for their organization.You will setup and configure a new G Suite account, and explore options for provisioning users, groups and resources. You will learn how to manage your users and also become familiar with organizational structures and G Suite core services such as Gmail, Calendar, and Drive & Docs. You will learn how to configure these services to meet your particular business needs for different parts of the organization.

In the security module you will be introduced to Google's best practices to protect your users and data. You will examine user and application security and become familiar with the Single Sign On (SSO) options available for your organization. You will be able to use the tools provided to identify security events and risks and mitigate problems that may arise.

Finally you will look at G Suite mail management. In this module you will configure email compliance and implement measures to protect your organization from spam, spoofing, phishing and malware attacks. You will also become familiar with the various mail routing options available.", Managing G Suite,https://www.coursera.org/learn/managing-g-suite
41,G Suite Administration Specialization,4,"The G Suite Administration Specialization has been developed to help administrators master the foundations of managing and establishing G Suite best practices for their organization.You will setup and configure a new G Suite account, and explore options for provisioning users, groups and resources. You will learn how to manage your users and also become familiar with organizational structures and G Suite core services such as Gmail, Calendar, and Drive & Docs. You will learn how to configure these services to meet your particular business needs for different parts of the organization.

In the security module you will be introduced to Google's best practices to protect your users and data. You will examine user and application security and become familiar with the Single Sign On (SSO) options available for your organization. You will be able to use the tools provided to identify security events and risks and mitigate problems that may arise.

Finally you will look at G Suite mail management. In this module you will configure email compliance and implement measures to protect your organization from spam, spoofing, phishing and malware attacks. You will also become familiar with the various mail routing options available.", G Suite Security,https://www.coursera.org/learn/g-suite-security
42,G Suite Administration Specialization,4,"The G Suite Administration Specialization has been developed to help administrators master the foundations of managing and establishing G Suite best practices for their organization.You will setup and configure a new G Suite account, and explore options for provisioning users, groups and resources. You will learn how to manage your users and also become familiar with organizational structures and G Suite core services such as Gmail, Calendar, and Drive & Docs. You will learn how to configure these services to meet your particular business needs for different parts of the organization.

In the security module you will be introduced to Google's best practices to protect your users and data. You will examine user and application security and become familiar with the Single Sign On (SSO) options available for your organization. You will be able to use the tools provided to identify security events and risks and mitigate problems that may arise.

Finally you will look at G Suite mail management. In this module you will configure email compliance and implement measures to protect your organization from spam, spoofing, phishing and malware attacks. You will also become familiar with the various mail routing options available.",G Suite Mail Management,https://www.coursera.org/learn/g-suite-mail-management
