,Course Names,Course Length,Course Descriptions,Chapter Names,Chapter Links
10,IBM Data Science Professional Certificate,9,"Data Science has been ranked as one of the hottest professions and the demand for data practitioners is booming. This Professional Certificate from IBM is intended for anyone interested in developing skills and experience to pursue a career in Data Science or Machine Learning.

This program consists of 9 courses providing you with latest job-ready skills and techniques covering a wide array of data science topics including: open source tools and libraries, methodologies, Python, databases, SQL, data visualization, data analysis, and machine learning. You will practice hands-on in the IBM Cloud using real data science tools and real-world data sets.

It is a myth that to become a data scientist you need a Ph.D. This Professional Certificate is suitable for anyone who has some computer skills and a passion for self-learning. No prior computer science or programming knowledge is necessary. We start small, re-enforce applied learning, and build up to more complex topics.

Upon successfully completing these courses you will have done several hands-on assignments and built a portfolio of data science projects to provide you with the confidence to plunge into an exciting profession in Data Science. In addition to earning a Professional Certificate from Coursera, you will also receive a digital Badge from IBM recognizing your proficiency in Data Science.

LIMITED TIME OFFER: Subscription is only $39 USD per month for access to graded materials and a certificate.",Data Visualization with Python,https://www.coursera.org/learn/python-for-data-visualization
11,IBM Data Science Professional Certificate,9,"Data Science has been ranked as one of the hottest professions and the demand for data practitioners is booming. This Professional Certificate from IBM is intended for anyone interested in developing skills and experience to pursue a career in Data Science or Machine Learning.

This program consists of 9 courses providing you with latest job-ready skills and techniques covering a wide array of data science topics including: open source tools and libraries, methodologies, Python, databases, SQL, data visualization, data analysis, and machine learning. You will practice hands-on in the IBM Cloud using real data science tools and real-world data sets.

It is a myth that to become a data scientist you need a Ph.D. This Professional Certificate is suitable for anyone who has some computer skills and a passion for self-learning. No prior computer science or programming knowledge is necessary. We start small, re-enforce applied learning, and build up to more complex topics.

Upon successfully completing these courses you will have done several hands-on assignments and built a portfolio of data science projects to provide you with the confidence to plunge into an exciting profession in Data Science. In addition to earning a Professional Certificate from Coursera, you will also receive a digital Badge from IBM recognizing your proficiency in Data Science.

LIMITED TIME OFFER: Subscription is only $39 USD per month for access to graded materials and a certificate.",Machine Learning with Python,https://www.coursera.org/learn/machine-learning-with-python
12,IBM Data Science Professional Certificate,9,"Data Science has been ranked as one of the hottest professions and the demand for data practitioners is booming. This Professional Certificate from IBM is intended for anyone interested in developing skills and experience to pursue a career in Data Science or Machine Learning.

This program consists of 9 courses providing you with latest job-ready skills and techniques covering a wide array of data science topics including: open source tools and libraries, methodologies, Python, databases, SQL, data visualization, data analysis, and machine learning. You will practice hands-on in the IBM Cloud using real data science tools and real-world data sets.

It is a myth that to become a data scientist you need a Ph.D. This Professional Certificate is suitable for anyone who has some computer skills and a passion for self-learning. No prior computer science or programming knowledge is necessary. We start small, re-enforce applied learning, and build up to more complex topics.

Upon successfully completing these courses you will have done several hands-on assignments and built a portfolio of data science projects to provide you with the confidence to plunge into an exciting profession in Data Science. In addition to earning a Professional Certificate from Coursera, you will also receive a digital Badge from IBM recognizing your proficiency in Data Science.

LIMITED TIME OFFER: Subscription is only $39 USD per month for access to graded materials and a certificate.",Applied Data Science Capstone,https://www.coursera.org/learn/applied-data-science-capstone
13,Excel to MySQL: Analytic Techniques for Business Specialization,5,"Formulate data questions, explore and visualize large datasets, and inform strategic decisions.In this Specialization, youâll learn to frame business challenges as data questions. Youâll use powerful tools and methods such as Excel, Tableau, and MySQL to analyze data, create forecasts and models, design visualizations, and communicate your insights. In the final Capstone Project, youâll apply your skills to explore and justify improvements to a real-world business process.

The Capstone Project focuses on optimizing revenues from residential property, and Airbnb, our Capstoneâs official Sponsor, provided input on the project design. Airbnb is the worldâs largest marketplace connecting property-owner hosts with travelers to facilitate short-term rental transactions. The top 10 Capstone completers each year will have the opportunity to present their work directly to senior data scientists at Airbnb live for feedback and discussion.",Business Metrics for Data-Driven Companies,https://www.coursera.org/learn/analytics-business-metrics?specialization=excel-mysql
14,Excel to MySQL: Analytic Techniques for Business Specialization,5,"Formulate data questions, explore and visualize large datasets, and inform strategic decisions.In this Specialization, youâll learn to frame business challenges as data questions. Youâll use powerful tools and methods such as Excel, Tableau, and MySQL to analyze data, create forecasts and models, design visualizations, and communicate your insights. In the final Capstone Project, youâll apply your skills to explore and justify improvements to a real-world business process.

The Capstone Project focuses on optimizing revenues from residential property, and Airbnb, our Capstoneâs official Sponsor, provided input on the project design. Airbnb is the worldâs largest marketplace connecting property-owner hosts with travelers to facilitate short-term rental transactions. The top 10 Capstone completers each year will have the opportunity to present their work directly to senior data scientists at Airbnb live for feedback and discussion.",Mastering Data Analysis in Excel,https://www.coursera.org/learn/analytics-excel?specialization=excel-mysql
15,Excel to MySQL: Analytic Techniques for Business Specialization,5,"Formulate data questions, explore and visualize large datasets, and inform strategic decisions.In this Specialization, youâll learn to frame business challenges as data questions. Youâll use powerful tools and methods such as Excel, Tableau, and MySQL to analyze data, create forecasts and models, design visualizations, and communicate your insights. In the final Capstone Project, youâll apply your skills to explore and justify improvements to a real-world business process.

The Capstone Project focuses on optimizing revenues from residential property, and Airbnb, our Capstoneâs official Sponsor, provided input on the project design. Airbnb is the worldâs largest marketplace connecting property-owner hosts with travelers to facilitate short-term rental transactions. The top 10 Capstone completers each year will have the opportunity to present their work directly to senior data scientists at Airbnb live for feedback and discussion.",Data Visualization and Communication with Tableau,https://www.coursera.org/learn/analytics-tableau?specialization=excel-mysql
16,Excel to MySQL: Analytic Techniques for Business Specialization,5,"Formulate data questions, explore and visualize large datasets, and inform strategic decisions.In this Specialization, youâll learn to frame business challenges as data questions. Youâll use powerful tools and methods such as Excel, Tableau, and MySQL to analyze data, create forecasts and models, design visualizations, and communicate your insights. In the final Capstone Project, youâll apply your skills to explore and justify improvements to a real-world business process.

The Capstone Project focuses on optimizing revenues from residential property, and Airbnb, our Capstoneâs official Sponsor, provided input on the project design. Airbnb is the worldâs largest marketplace connecting property-owner hosts with travelers to facilitate short-term rental transactions. The top 10 Capstone completers each year will have the opportunity to present their work directly to senior data scientists at Airbnb live for feedback and discussion.",Managing Big Data with MySQL,https://www.coursera.org/learn/analytics-mysql?specialization=excel-mysql
17,Excel to MySQL: Analytic Techniques for Business Specialization,5,"Formulate data questions, explore and visualize large datasets, and inform strategic decisions.In this Specialization, youâll learn to frame business challenges as data questions. Youâll use powerful tools and methods such as Excel, Tableau, and MySQL to analyze data, create forecasts and models, design visualizations, and communicate your insights. In the final Capstone Project, youâll apply your skills to explore and justify improvements to a real-world business process.

The Capstone Project focuses on optimizing revenues from residential property, and Airbnb, our Capstoneâs official Sponsor, provided input on the project design. Airbnb is the worldâs largest marketplace connecting property-owner hosts with travelers to facilitate short-term rental transactions. The top 10 Capstone completers each year will have the opportunity to present their work directly to senior data scientists at Airbnb live for feedback and discussion.",Increasing Real Estate Management Profits: Harnessing Data Analytics,https://www.coursera.org/learn/analytics-capstone
18,Modern Big Data Analysis with SQL Specialization,3,"This Specialization teaches the essential skills for working with large-scale data using SQL.

Maybe you are new to SQL and you want to learn the basics. Or maybe you already have some experience using SQL to query smaller-scale data with relational databases. Either way, if you are interested in gaining the skills necessary to query big data with modern distributed SQL engines, this Specialization is for you.

Most courses that teach SQL focus on traditional relational databases, but today, more and more of the data thatâs being generated is too big to be stored there, and itâs growing too quickly to be efficiently stored in commercial data warehouses. Instead, itâs increasingly stored in distributed clusters and cloud storage. These data stores are cost-efficient and infinitely scalable.

To query these huge datasets in clusters and cloud storage, you need a newer breed of SQL engine: distributed query engines, like Hive, Impala, Presto, and Drill. These are open source SQL engines capable of querying enormous datasets. This Specialization focuses on Hive and Impala, the most widely deployed of these query engines.

This Specialization is designed to provide excellent preparation for the Cloudera Certified Associate (CCA) Data Analyst certification exam. You can earn this certification credential by taking a hands-on practical exam using the same SQL engines that this Specialization teachesâHive and Impala.",Foundations for Big Data Analysis with SQL,https://www.coursera.org/learn/foundations-big-data-analysis-sql
19,Modern Big Data Analysis with SQL Specialization,3,"This Specialization teaches the essential skills for working with large-scale data using SQL.

Maybe you are new to SQL and you want to learn the basics. Or maybe you already have some experience using SQL to query smaller-scale data with relational databases. Either way, if you are interested in gaining the skills necessary to query big data with modern distributed SQL engines, this Specialization is for you.

Most courses that teach SQL focus on traditional relational databases, but today, more and more of the data thatâs being generated is too big to be stored there, and itâs growing too quickly to be efficiently stored in commercial data warehouses. Instead, itâs increasingly stored in distributed clusters and cloud storage. These data stores are cost-efficient and infinitely scalable.

To query these huge datasets in clusters and cloud storage, you need a newer breed of SQL engine: distributed query engines, like Hive, Impala, Presto, and Drill. These are open source SQL engines capable of querying enormous datasets. This Specialization focuses on Hive and Impala, the most widely deployed of these query engines.

This Specialization is designed to provide excellent preparation for the Cloudera Certified Associate (CCA) Data Analyst certification exam. You can earn this certification credential by taking a hands-on practical exam using the same SQL engines that this Specialization teachesâHive and Impala.",Analyzing Big Data with SQL,https://www.coursera.org/learn/cloudera-big-data-analysis-sql-queries
20,Modern Big Data Analysis with SQL Specialization,3,"This Specialization teaches the essential skills for working with large-scale data using SQL.

Maybe you are new to SQL and you want to learn the basics. Or maybe you already have some experience using SQL to query smaller-scale data with relational databases. Either way, if you are interested in gaining the skills necessary to query big data with modern distributed SQL engines, this Specialization is for you.

Most courses that teach SQL focus on traditional relational databases, but today, more and more of the data thatâs being generated is too big to be stored there, and itâs growing too quickly to be efficiently stored in commercial data warehouses. Instead, itâs increasingly stored in distributed clusters and cloud storage. These data stores are cost-efficient and infinitely scalable.

To query these huge datasets in clusters and cloud storage, you need a newer breed of SQL engine: distributed query engines, like Hive, Impala, Presto, and Drill. These are open source SQL engines capable of querying enormous datasets. This Specialization focuses on Hive and Impala, the most widely deployed of these query engines.

This Specialization is designed to provide excellent preparation for the Cloudera Certified Associate (CCA) Data Analyst certification exam. You can earn this certification credential by taking a hands-on practical exam using the same SQL engines that this Specialization teachesâHive and Impala.",Managing Big Data in Clusters and Cloud Storage,https://www.coursera.org/learn/cloud-storage-big-data-analysis-sql
21,Python for Everybody Specialization,4,"This Specialization builds on the success of the Python for Everybody course and will introduce fundamental programming concepts including data structures, networked application program interfaces, and databases, using the Python programming language. In the Capstone Project, youâll use the technologies learned throughout the Specialization to design and create your own applications for data retrieval, processing, and visualization.",Programming for Everybody (Getting Started with Python),https://www.coursera.org/learn/python?specialization=python
22,Python for Everybody Specialization,4,"This Specialization builds on the success of the Python for Everybody course and will introduce fundamental programming concepts including data structures, networked application program interfaces, and databases, using the Python programming language. In the Capstone Project, youâll use the technologies learned throughout the Specialization to design and create your own applications for data retrieval, processing, and visualization.",Python Data Structures,https://www.coursera.org/learn/python-data?specialization=python
23,Python for Everybody Specialization,4,"This Specialization builds on the success of the Python for Everybody course and will introduce fundamental programming concepts including data structures, networked application program interfaces, and databases, using the Python programming language. In the Capstone Project, youâll use the technologies learned throughout the Specialization to design and create your own applications for data retrieval, processing, and visualization.",Using Python to Access Web Data,https://www.coursera.org/learn/python-network-data?specialization=python
24,Python for Everybody Specialization,4,"This Specialization builds on the success of the Python for Everybody course and will introduce fundamental programming concepts including data structures, networked application program interfaces, and databases, using the Python programming language. In the Capstone Project, youâll use the technologies learned throughout the Specialization to design and create your own applications for data retrieval, processing, and visualization.",Using Databases with Python,https://www.coursera.org/learn/python-databases?specialization=python
25,Data Warehousing for Business Intelligence Specialization,4,"Evaluate business needs, design a data warehouse, and integrate and visualize data using dashboards and visual analytics.

This Specialization covers data architecture skills that are increasingly critical across a broad range of technology fields. Youâll learn the basics of structured data modeling, gain practical SQL coding experience, and develop an in-depth understanding of data warehouse design and data manipulation. Youâll have the opportunity to work with large data sets in a data warehouse environment to create dashboards and Visual Analytics. You will use of MicroStrategy, a leading BI tool, OLAP (online analytical processing) and Visual Insights capabilities to create dashboards and Visual Analytics. In the final Capstone Project, youâll apply your skills to build a small, basic data warehouse, populate it with data, and create dashboards and other visualizations to analyze and communicate the data to a broad audience.",Database Management Essentials,https://www.coursera.org/learn/database-management?specialization=data-warehousing
26,Data Warehousing for Business Intelligence Specialization,4,"Evaluate business needs, design a data warehouse, and integrate and visualize data using dashboards and visual analytics.

This Specialization covers data architecture skills that are increasingly critical across a broad range of technology fields. Youâll learn the basics of structured data modeling, gain practical SQL coding experience, and develop an in-depth understanding of data warehouse design and data manipulation. Youâll have the opportunity to work with large data sets in a data warehouse environment to create dashboards and Visual Analytics. You will use of MicroStrategy, a leading BI tool, OLAP (online analytical processing) and Visual Insights capabilities to create dashboards and Visual Analytics. In the final Capstone Project, youâll apply your skills to build a small, basic data warehouse, populate it with data, and create dashboards and other visualizations to analyze and communicate the data to a broad audience.","Data Warehouse Concepts, Design, and Data Integration",https://www.coursera.org/learn/dwdesign?specialization=data-warehousing
27,Data Warehousing for Business Intelligence Specialization,4,"Evaluate business needs, design a data warehouse, and integrate and visualize data using dashboards and visual analytics.

This Specialization covers data architecture skills that are increasingly critical across a broad range of technology fields. Youâll learn the basics of structured data modeling, gain practical SQL coding experience, and develop an in-depth understanding of data warehouse design and data manipulation. Youâll have the opportunity to work with large data sets in a data warehouse environment to create dashboards and Visual Analytics. You will use of MicroStrategy, a leading BI tool, OLAP (online analytical processing) and Visual Insights capabilities to create dashboards and Visual Analytics. In the final Capstone Project, youâll apply your skills to build a small, basic data warehouse, populate it with data, and create dashboards and other visualizations to analyze and communicate the data to a broad audience.",Relational Database Support for Data Warehouses,https://www.coursera.org/learn/dwrelational?specialization=data-warehousing
28,Data Warehousing for Business Intelligence Specialization,4,"Evaluate business needs, design a data warehouse, and integrate and visualize data using dashboards and visual analytics.

This Specialization covers data architecture skills that are increasingly critical across a broad range of technology fields. Youâll learn the basics of structured data modeling, gain practical SQL coding experience, and develop an in-depth understanding of data warehouse design and data manipulation. Youâll have the opportunity to work with large data sets in a data warehouse environment to create dashboards and Visual Analytics. You will use of MicroStrategy, a leading BI tool, OLAP (online analytical processing) and Visual Insights capabilities to create dashboards and Visual Analytics. In the final Capstone Project, youâll apply your skills to build a small, basic data warehouse, populate it with data, and create dashboards and other visualizations to analyze and communicate the data to a broad audience.","Business Intelligence Concepts, Tools, and Applications",https://www.coursera.org/learn/business-intelligence-tools?specialization=data-warehousing
29,Google IT Automation with Python Professional Certificate,4,"This new beginner-level, six-course certificate, developed by Google, is designed to provide IT professionals with in-demand skills -- including Python, Git, and IT automation -- that can help you advance your career.Knowing how to write code to solve problems and automate solutions is a crucial skill for anybody in IT. Python, in particular, is now the most in-demand programming language by employers.

This program builds on your IT foundations to help you take your career to the next level. Itâs designed to teach you how to program with Python and how to use Python to automate common system administration tasks. You'll also learn to use Git and GitHub, troubleshoot and debug complex problems, and apply automation at scale by using configuration management and the Cloud.

This certificate can be completed in about 6 months and is designed to prepare you for a variety of roles in IT, like more advanced IT Support Specialist or Junior Systems Administrator positions. Upon completing the program, youâll have the option to share your information with potential employers, like Walmart, Sprint, Hulu, Bank of America, Google (of course!), and more.

We recommend that you have Python installed on your machine. For some courses, youâll need a computer where you can install Git or ask your administrator to install it for you.

If youâd like to learn the fundamentals of IT support, check out the beginner level Google IT Support Professional Certificate.",Crash Course on Python,https://www.coursera.org/learn/python-crash-course?specialization=google-it-automation
30,Google IT Automation with Python Professional Certificate,4,"This new beginner-level, six-course certificate, developed by Google, is designed to provide IT professionals with in-demand skills -- including Python, Git, and IT automation -- that can help you advance your career.Knowing how to write code to solve problems and automate solutions is a crucial skill for anybody in IT. Python, in particular, is now the most in-demand programming language by employers.

This program builds on your IT foundations to help you take your career to the next level. Itâs designed to teach you how to program with Python and how to use Python to automate common system administration tasks. You'll also learn to use Git and GitHub, troubleshoot and debug complex problems, and apply automation at scale by using configuration management and the Cloud.

This certificate can be completed in about 6 months and is designed to prepare you for a variety of roles in IT, like more advanced IT Support Specialist or Junior Systems Administrator positions. Upon completing the program, youâll have the option to share your information with potential employers, like Walmart, Sprint, Hulu, Bank of America, Google (of course!), and more.

We recommend that you have Python installed on your machine. For some courses, youâll need a computer where you can install Git or ask your administrator to install it for you.

If youâd like to learn the fundamentals of IT support, check out the beginner level Google IT Support Professional Certificate.",Using Python to Interact with the Operating System,https://www.coursera.org/learn/python-operating-system?specialization=google-it-automation
31,Google IT Automation with Python Professional Certificate,4,"This new beginner-level, six-course certificate, developed by Google, is designed to provide IT professionals with in-demand skills -- including Python, Git, and IT automation -- that can help you advance your career.Knowing how to write code to solve problems and automate solutions is a crucial skill for anybody in IT. Python, in particular, is now the most in-demand programming language by employers.

This program builds on your IT foundations to help you take your career to the next level. Itâs designed to teach you how to program with Python and how to use Python to automate common system administration tasks. You'll also learn to use Git and GitHub, troubleshoot and debug complex problems, and apply automation at scale by using configuration management and the Cloud.

This certificate can be completed in about 6 months and is designed to prepare you for a variety of roles in IT, like more advanced IT Support Specialist or Junior Systems Administrator positions. Upon completing the program, youâll have the option to share your information with potential employers, like Walmart, Sprint, Hulu, Bank of America, Google (of course!), and more.

We recommend that you have Python installed on your machine. For some courses, youâll need a computer where you can install Git or ask your administrator to install it for you.

If youâd like to learn the fundamentals of IT support, check out the beginner level Google IT Support Professional Certificate.",Introduction to Git and GitHub,https://www.coursera.org/learn/introduction-git-github?specialization=google-it-automation
32,Google IT Automation with Python Professional Certificate,4,"This new beginner-level, six-course certificate, developed by Google, is designed to provide IT professionals with in-demand skills -- including Python, Git, and IT automation -- that can help you advance your career.Knowing how to write code to solve problems and automate solutions is a crucial skill for anybody in IT. Python, in particular, is now the most in-demand programming language by employers.

This program builds on your IT foundations to help you take your career to the next level. Itâs designed to teach you how to program with Python and how to use Python to automate common system administration tasks. You'll also learn to use Git and GitHub, troubleshoot and debug complex problems, and apply automation at scale by using configuration management and the Cloud.

This certificate can be completed in about 6 months and is designed to prepare you for a variety of roles in IT, like more advanced IT Support Specialist or Junior Systems Administrator positions. Upon completing the program, youâll have the option to share your information with potential employers, like Walmart, Sprint, Hulu, Bank of America, Google (of course!), and more.

We recommend that you have Python installed on your machine. For some courses, youâll need a computer where you can install Git or ask your administrator to install it for you.

If youâd like to learn the fundamentals of IT support, check out the beginner level Google IT Support Professional Certificate.",Troubleshooting and Debugging Techniques,https://www.coursera.org/learn/troubleshooting-debugging-techniques?specialization=google-it-automation
33,Advanced Business Analytics Specialization,4,"The Advanced Business Analytics Specialization brings together academic professionals and experienced practitioners to share real world data analytics skills you can use to grow your business, increase profits, and create maximum value for your shareholders. Learners gain practical skills in extracting and manipulating data using SQL code, executing statistical methods for descriptive, predictive, and prescriptive analysis, and effectively interpreting and presenting analytic results.The problems faced by decision makers in todayâs competitive business environment are complex. Achieve a clear competitive advantage by using data to explain the performance of a business, evaluate different courses of action, and employ a structured approach to business problem-solving.

Check out a one-minute video about this specialization to learn more!",Introduction to Data Analytics for Business,https://www.coursera.org/learn/data-analytics-business?specialization=data-analytics-business
34,Advanced Business Analytics Specialization,4,"The Advanced Business Analytics Specialization brings together academic professionals and experienced practitioners to share real world data analytics skills you can use to grow your business, increase profits, and create maximum value for your shareholders. Learners gain practical skills in extracting and manipulating data using SQL code, executing statistical methods for descriptive, predictive, and prescriptive analysis, and effectively interpreting and presenting analytic results.The problems faced by decision makers in todayâs competitive business environment are complex. Achieve a clear competitive advantage by using data to explain the performance of a business, evaluate different courses of action, and employ a structured approach to business problem-solving.

Check out a one-minute video about this specialization to learn more!",Predictive Modeling and Analytics ,https://www.coursera.org/learn/predictive-modeling-analytics?specialization=data-analytics-business
