,Section Names,Section Length,Chapter Links,Section Descriptions
10,Regression,6,https://www.coursera.org/learn/multivariate-calculus-machine-learning,"In order to optimise the fitting parameters of a fitting function to the best fit for some data, we need a way to define how good our fit is.  This goodness of fit is called chi-squared, which we’ll first apply to fitting a straight line - linear regression.  Then we’ll look at how to optimise our fitting function using chi-squared in the general case using the gradient descent method. Finally, we’ll look at how to do this easily in Python in just a few lines of code, which will wrap up the course."
11,Statistics of Datasets,4,https://www.coursera.org/learn/pca-machine-learning,"Principal Component Analysis (PCA) is one of the most important dimensionality reduction algorithms in machine learning. In this course, we lay the mathematical foundations to derive and understand PCA from a geometric point of view. In this module, we learn how to summarize datasets (e.g., images) using basic statistics, such as the mean and the variance. We also look at properties of the mean and the variance when we shift or scale the original data set. We will provide mathematical intuition as well as the skills to derive the results. We will also implement our results in code (jupyter notebooks), which will allow us to practice our mathematical understand to compute averages of image data sets."
12,Inner Products,4,https://www.coursera.org/learn/pca-machine-learning,"Data can be interpreted as vectors. Vectors allow us to talk about geometric concepts, such as lengths, distances and angles to characterise similarity between vectors. This will become important later in the course when we discuss PCA. In this module, we will introduce and practice the concept of an inner product. Inner products allow us to talk about geometric concepts in vector spaces. More specifically, we will start with the dot product (which we may still know from school) as a special case of an inner product, and then move toward a more general concept of an inner product, which play an integral part in some areas of machine learning, such as kernel machines (this includes support vector machines and Gaussian processes). We have a lot of exercises in this module to practice and understand the concept of inner products."
13,Orthogonal Projections,4,https://www.coursera.org/learn/pca-machine-learning,"In this module, we will look at orthogonal projections of vectors, which live in a high-dimensional vector space, onto lower-dimensional subspaces. This will play an important role in the next module when we derive PCA. We will start off with a geometric motivation of what an orthogonal projection is and work our way through the corresponding derivation. We will end up with a single equation that allows us to project any vector onto a lower-dimensional subspace. However, we will also understand how this equation came about. As in the other modules, we will have both pen-and-paper practice and a small programming example with a jupyter notebook."
14,Principal Component Analysis,4,https://www.coursera.org/learn/pca-machine-learning,"We can think of dimensionality reduction as a way of compressing data with some loss, similar to jpg or mp3. Principal Component Analysis (PCA) is one of the most fundamental dimensionality reduction techniques that are used in machine learning. In this module, we use the results from the first three modules of this course and derive PCA from a geometric point of view. Within this course, this module is the most challenging one, and we will go through an explicit derivation of PCA plus some coding exercises that will make us a proficient user of PCA. "
15,Basic Combinatorics,6,https://www.coursera.org/learn/discrete-math-and-analyzing-social-graphs,Suppose we need to count certain objects. Can we do anything better than just list all the objects? Do we need to create a list of all our data entries to check whether we have enough data to teach our ML model? Is there a way to tell whether our algorithm will run in a reasonable time before implementing and actually running it? All these questions are addressed by a mathematical field called Combinatorics. In this module we will give an introduction to this field that will help us to answer basic versions of the above questions.
16,Advanced Combinatorics,6,https://www.coursera.org/learn/discrete-math-and-analyzing-social-graphs,"In the first week we have already considered most of the standard settings in Combinatorics, that allow us to address many counting problems. However, successful application of this knowledge on practice requires considerable experience in this kind of problems. The goal of this module is twofold. First, we study extensively more advanced combinatorial settings. We discuss in more details binomial coefficients. Also, we address one more standard setting, combinations with repetitions. The second gaol of the course is to practice counting. We will gain some experience in this by discussing various problems in Combinatorics."
17,Discrete Probability,6,https://www.coursera.org/learn/discrete-math-and-analyzing-social-graphs,"Probability theory is a mathematical foundation of Statistics, the core of Data Science. During this week we study discrete probability, the first chapter of the probability theory, closely related to combinatorics. We discuss random experiments, their outcomes and events, introduce the notion of probability and some basic rules that follow immediately from the combinatorial results studied before. We also study simple probabilistic models like coin-tossing that will be used later."
18,Introduction to Graphs,6,https://www.coursera.org/learn/discrete-math-and-analyzing-social-graphs,"Graphs represent objects and relations between them in a compact geometric form. Objects are represented by vertices of a graph and relations correspond to edges. Applications of graphs include geoinformational systems (vertices are cities, edges are roads), social network analysis (people and friendship relations), chemistry (graphs of molecular structure), computer network topology, and many more. During this week, we introduce basic notions of graph theory and discuss basic algorithms on graphs."
19,Basic Graph Parameters,6,https://www.coursera.org/learn/discrete-math-and-analyzing-social-graphs,"Graph parameters, also called graph properties and graph invariants, are values (usually numerical), which are calculated for a given graph and depend only on its abstract structure (not, say, on a particular way of drawing the graph on a plane). Graph parameters are useful in data science, since they reduce a big amount of data (the graph) to a small one (the parameter), while conveying important information about the graph. We discuss some of the basic graph parameters in this module."
20,Graphs of Social Networks,6,https://www.coursera.org/learn/discrete-math-and-analyzing-social-graphs,"In this final part of the course we discuss a Python library for working with graphs, called NetworkX. In NetworkX, one can create and modify graphs, compute graph parameters, visualize graphs, etc. We shall show how NetworkX is used to operate on graphs coming from a real-world dataset."
21,"Introduction: Numerical Sets, Functions, Limits",6,https://www.coursera.org/learn/calculus-and-optimization-for-machine-learning,"Here we introduce basic concept the calculus course could not be imagine without: function. In order to properly do it, one should say that the function is a mapping from one set to another. Thus, we start with the ideas of numerical sets and mapping, then proceeding with functions itself. Since we are particularly interested in functions' graph, we spend a lot of time discussing simplest ways to produce a complex function graph from elementary case. In the second part of the week we start our calculus journey with a discrete limit, the limit of sequences, and master skills needed to calculate them."
22,Limits and Multivariate Functions,6,https://www.coursera.org/learn/calculus-and-optimization-for-machine-learning,"Now it is time to move from discrete limits to continuous ones: in other words, in the current module we are going to discuss limits of functions. We start with the basic question: does this case sufficiently differ from the sequences? Turns out, yes, it does thanks to significant structural differences between natural and real numbers. One of those differences - the continuousness - allows us to define and calculate limits at finite  moments. We spend some time specifically on the famous important limits, then we proceed with the idea of asymptotic comparison of functions, Big- and little-o notations. To top our module with, we introduce functions of several variables and spend some time getting used to conveniently plot and interpret them, finishing up with discussion of its limits."
23,Derivatives and Linear Approximations: Singlevariate Functions,6,https://www.coursera.org/learn/calculus-and-optimization-for-machine-learning,"Since we now know limits, let us use them in order to define some instantaneous characteristics of functions starting with its slope. Thus we define function's derivative and discuss all the machinery to calculate it. Since it is a purely technical issue, you are expected to be able to do it: in order to make sure that you can find a derivative we provide a drill. This skills could be used for finding approximate values via linear approximation or during the search for extremal values. To provide an understanding of the sufficient condition of the extremum, we introduce the concept of convexity."
24,Derivatives and Linear Approximations: Multivariate Functions,6,https://www.coursera.org/learn/calculus-and-optimization-for-machine-learning,"Whilst we have discussed all linear related concepts for single variate functions, it is essential to try and generalise it for the multivariate case. Since the derivative concept is hard to stretch directly, we start with the idea of linear approximation and tangent plane; thus we introduce partial derivatives and the differentiability. We separately spend sometime discussing neural network inspired composite multivariate functions and all-mighty chain rule. Our generalisation attempt finalised with the idea of convexity in terms of the second partial derivatives."
25,"Integrals: Anti-derivative, Area under Curve",6,https://www.coursera.org/learn/calculus-and-optimization-for-machine-learning,"As we introduced the operation of differentiation, it is essential to think about the inverse procedure - the integration. We start the module with basic definition of the integration and, as usual, all techniques required to calculate wide range of the indefinite integrals, stressing out that the result is not guaranteed now. Then we proceed with the idea and formal definition of area under curve and its relation to the indefinite case - the fundamental theorem of calculus. We finish our week with the discussion of the areas of infinite figures (improper integrals) and numerical methods to assess the value of the definite integral."
26,"Optimization: Directional derivative, Extrema and Gradient Descent",6,https://www.coursera.org/learn/calculus-and-optimization-for-machine-learning,"As we built up impressive base by introducing various estimations of change and overall function's behaviour, it is essential to speak about general idea of the optimisation procedure. Since we already tackled it in a single variate case, we try to generalise our principles of necessary and sufficient conditions to the case of multivariate functions. Whilst it provides theoretical understanding, one should seek for faster iterative way to find an extremal point. In order to do it, we start our week with the concept of the directional derivative in order to provide and understanding of the desired direction of iterative search. Thus we produce the idea and motivation of the gradient descent, the last  and final concept in our course you are asked to master."
27,Systems of linear equations and linear classifier ,4,https://www.coursera.org/learn/first-steps-in-linear-algebra-for-machine-learning,"In the first week we provide an introduction to multi-dimensional geometry and matrix algebra. After that, we study methods for finding linear system solutions based on Gaussian eliminations and LU-decompositions. We illustrate the methods with Python code examples of matrix calculations."
28,Full rank decomposition and systems of linear equations,4,https://www.coursera.org/learn/first-steps-in-linear-algebra-for-machine-learning,"The second week is devoted to getting to know some fundamental notions of  linear algebra, namely: vector spaces, linear independence, and basis. Next, we will discuss what a rank of a matrix is, and how it could help us decompose a matrix.  In addition, we will talk about the properties of a set of solutions for a system of linear equations. At the end of this week we will apply this theory to a scanned document processing."
29,Euclidean spaces ,4,https://www.coursera.org/learn/first-steps-in-linear-algebra-for-machine-learning,"In the third week, we firstly introduce coordinates in an abstract vector space. This allows us to apply the usual matrix arithmetic to abstract vectors. Next, we discuss the concept of Euclidean space which allows us to measure distances and angles in vector spaces. Then we use these measures in the least squares method to find approximate solutions of linear systems and in the linear regression model based on it. Finally, we describe the core of the most common linear classifier called Support Vector Machine. "
30,Final Project,4,https://www.coursera.org/learn/first-steps-in-linear-algebra-for-machine-learning,In this week we will apply the acquired knowledge about linear regression and SVM models in this final project.  
31,Conditional probability and Independence,6,https://www.coursera.org/learn/probability-theory-statistics,"During this week we discuss conditional probability and independence of events. Sometimes we can use this definition to find probabilities. Sometimes we check that this definition fulfills to assure whether events are independent. We discuss important law of total probability, which allows us to find probability of some event when we know its conditional probabilities provided some hypotheses and probabilities of the hypotheses. We also discuss Bayes's rule which allows us to find probability of hypothesis provided that some event occurred. We demonstrate how Python can be used for calculating conditional probabilities and checking independence of events."
32,Random variables,6,https://www.coursera.org/learn/probability-theory-statistics,"Random variable denotes a value that depends on the result of some random experiment. Some natural examples of random variables come from gambling and lotteries. There are two main classes of random variables that we will consider in this course. This week we'll learn discrete random variables that take finite or countable number of values. Discrete random variables can be described by their distribution. We'll consider various discrete distributions, introduce notions of expected value and variance and learn to generate and visualize discrete random variables with Python."
33,"Systems of random variables; properties of expectation and variance, covariance and correlation.",6,https://www.coursera.org/learn/probability-theory-statistics,"Several random variables associated with the same random experiment constitute a system of random variables. To describe system of discrete random variables one can use joint distribution, which takes into account all possible combinations of values that random variables may take. We'll find some joint distributions, research their properties and introduce independence of random variables. Then we'll discuss properties of expected value and variance with respect to arithmetic operations and introduce measures of independence between random variables."
34,Continuous random variables,6,https://www.coursera.org/learn/probability-theory-statistics,"This week we'll study continuous random variables that constitute important data type in statistics and data analysis. For continuous random variables we'll define probability density function (PDF) and cumulative distribution function (CDF), see how they are linked and how sampling from random variable may be used to approximate its PDF. We'll introduce expected value, variance, covariance and correlation for continuous random variables and discuss their properties. Finally, we'll use Python to generate independent and correlated continuous random variables."
35,From random variables to statistical data. Data summarization and descriptive statistics.,6,https://www.coursera.org/learn/probability-theory-statistics,"This week we'll introduce types of statistical data and discuss models that are used to pass from statistical data to random variables. We'll introduce descriptive statistics of sample data, such as various measures of central tendency and statistical dispersion, and find correspondences between properties of random variables (population) and the sample descriptive statistics, which are essential for statistical predictions. We’ll talk about visualization of statistical data and learn to work with them in Python."
36,Correlations and visualizations,6,https://www.coursera.org/learn/probability-theory-statistics,"This week we’ll consider correlation in statistical data and find out how its' related to the level of dependance  within the data and what it means for scatter plots. We’ll consider several types of correlation suitable for different types of data and discuss difference between correlation and causation. Finally, we’ll learn to visualize dependence between numeric variables and calculate correlation with Python."
37,Data Science Fundamentals,4,https://www.coursera.org/learn/data-scientists-tools?specialization=jhu-data-science,"In this module, we'll introduce and define data science and data itself. We'll also go over some of the resources that data scientists use to get help when they're stuck."
38,R and RStudio,4,https://www.coursera.org/learn/data-scientists-tools?specialization=jhu-data-science,"In this module, we'll help you get up and running with both R and RStudio. Along the way, you'll learn some basics about both and why data scientists use them. "
39,Version Control and GitHub,4,https://www.coursera.org/learn/data-scientists-tools?specialization=jhu-data-science,"During this module, you'll learn about version control and why it's so important to data scientists. You'll also learn how to use Git and GitHub to manage version control in data science projects."
40,"R Markdown, Scientific Thinking, and Big Data ",4,https://www.coursera.org/learn/data-scientists-tools?specialization=jhu-data-science,"During this final module, you'll learn to use R Markdown and get an introduction to three concepts that are incredibly important to every successful data scientist: asking good questions, experimental design, and big data. "
41,"Week 1: Background, Getting Started, and Nuts & Bolts",4,https://www.coursera.org/learn/r-programming?specialization=jhu-data-science,"This week covers the basics to get you started up with R. The Background Materials lesson contains information about course mechanics and some videos on installing R. The Week 1 videos cover the history of R and S, go over the basic data types in R, and describe the functions for reading and writing data. I recommend that you watch the videos in the listed order, but watching the videos out of order isn't going to ruin the story. "
42,Week 2: Programming with R,4,https://www.coursera.org/learn/r-programming?specialization=jhu-data-science,"Welcome to Week 2 of R Programming. This week, we take the gloves off, and the lectures cover key topics like control structures and functions. We also introduce the first programming assignment for the course, which is due at the end of the week."
43,Week 3: Loop Functions and Debugging,4,https://www.coursera.org/learn/r-programming?specialization=jhu-data-science,"We have now entered the third week of R Programming, which also marks the halfway point. The lectures this week cover loop functions and the debugging tools in R. These aspects of R make R useful for both interactive work and writing longer code, and so they are commonly used in practice."
44,Week 4: Simulation & Profiling,4,https://www.coursera.org/learn/r-programming?specialization=jhu-data-science,"This week covers how to simulate data in R, which serves as the basis for doing simulation studies. We also cover the profiler in R which lets you collect detailed information on how your R functions are running and to identify bottlenecks that can be addressed. The profiler is a key tool in helping you optimize your programs. Finally, we cover the str function, which I personally believe is the most useful function in R."
45,Week 1,4,https://www.coursera.org/learn/data-cleaning?specialization=jhu-data-science,"In this first week of the course, we look at finding data and reading different file types."
46,Week 2,4,https://www.coursera.org/learn/data-cleaning?specialization=jhu-data-science,Welcome to Week 2 of Getting and Cleaning Data! The primary goal is to introduce you to the most common data storage systems and the appropriate tools to extract data from web or from databases like MySQL. 
47,Week 3,4,https://www.coursera.org/learn/data-cleaning?specialization=jhu-data-science,"Welcome to Week 3 of Getting and Cleaning Data! This week the lectures will focus on organizing, merging and managing the data you have collected using the lectures from Weeks 1 and 2. "
48,Week 4,4,https://www.coursera.org/learn/data-cleaning?specialization=jhu-data-science,Welcome to Week 4 of Getting and Cleaning Data! This week we finish up with lectures on text and date manipulation in R. In this final week we will also focus on peer grading of Course Projects. 
49,Week 1,4,https://www.coursera.org/learn/exploratory-data-analysis?specialization=jhu-data-science,This week covers the basics of analytic graphics and the base plotting system in R. We've also included some background material to help you install R if you haven't done so already. 
50,Week 2,4,https://www.coursera.org/learn/exploratory-data-analysis?specialization=jhu-data-science,"Welcome to Week 2 of Exploratory Data Analysis. This week covers some of the more advanced graphing systems available in R: the Lattice system and the ggplot2 system. While the base graphics system provides many important tools for visualizing data, it was part of the original R system and lacks many features that may be desirable in a plotting system, particularly when visualizing high dimensional data. The Lattice and ggplot2 systems also simplify the laying out of plots making it a much less tedious process."
51,Week 3,4,https://www.coursera.org/learn/exploratory-data-analysis?specialization=jhu-data-science,Welcome to Week 3 of Exploratory Data Analysis. This week covers some of the workhorse statistical methods for exploratory analysis. These methods include clustering and dimension reduction techniques that allow you to make graphical displays of very high dimensional data (many many variables). We also cover novel ways to specify colors in R so that you can use color as an important and useful dimension when making data graphics. All of this material is covered in chapters 9-12 of my book Exploratory Data Analysis with R.
52,Week 4,4,https://www.coursera.org/learn/exploratory-data-analysis?specialization=jhu-data-science,"This week, we'll look at two case studies in exploratory data analysis. The first involves the use of cluster analysis techniques, and the second is a more involved analysis of some air pollution data. How one goes about doing EDA is often personal, but I'm providing these videos to give you a sense of how you might proceed with a specific type of dataset. "
53,Introduction to Modern Robotics,5,https://www.coursera.org/learn/modernrobotics-course1?specialization=modernrobotics,"Introduction to the specialization, the Modern Robotics code library, the CoppeliaSim robot simulator, and the lightboard video-generation tool."
54,Chapter 2:  Configuration Space (Part 1 of 2),5,https://www.coursera.org/learn/modernrobotics-course1?specialization=modernrobotics,Configuration space and degrees of freedom of rigid bodies and robots.
55,Chapter 2:  Configuration Space (Part 2 of 2),5,https://www.coursera.org/learn/modernrobotics-course1?specialization=modernrobotics,Configuration space topology and representation; configuration and velocity constraints; task space and workspace.
56,Chapter 3:  Rigid-Body Motions (Part 1 of 2),5,https://www.coursera.org/learn/modernrobotics-course1?specialization=modernrobotics,"Rigid-body motions, rotation matrices, angular velocities, and exponential coordinates of rotation."
57,Chapter 3:  Rigid-Body Motions (Part 2 of 2),5,https://www.coursera.org/learn/modernrobotics-course1?specialization=modernrobotics,"Homogeneous transformation matrices, twists, screws, exponential coordinates of rigid-body motion, and wrenches."
58,Chapter 4: Forward Kinematics,4,https://www.coursera.org/learn/modernrobotics-course2?specialization=modernrobotics,Product of exponentials formula for forward kinematics in the space frame and the end-effector frame.
59,Chapter 5: Velocity Kinematics and Statics,4,https://www.coursera.org/learn/modernrobotics-course2?specialization=modernrobotics,"Velocity kinematics using the space Jacobian and body Jacobian, statics of open chains, singularities, and manipulability."
60,Chapter 6: Inverse Kinematics,4,https://www.coursera.org/learn/modernrobotics-course2?specialization=modernrobotics,Analytical and numerical inverse kinematics.
61,Chapter 7: Kinematics of Closed Chains,4,https://www.coursera.org/learn/modernrobotics-course2?specialization=modernrobotics,"Forward kinematics, inverse kinematics, velocity kinematics, and statics of closed chains."
62,Chapter 8:  Dynamics of Open Chains (Part 1 of 2),4,https://www.coursera.org/learn/modernrobotics-course3?specialization=modernrobotics,"Lagrangian formulation of dynamics, centripetal and Coriolis forces, robot mass matrix, dynamics of a rigid body, and Newton-Euler inverse dynamics for an open-chain robot."
63,Chapter 8:  Dynamics of Open Chains (Part 2 of 2),4,https://www.coursera.org/learn/modernrobotics-course3?specialization=modernrobotics,"Forward dynamics of an open chain, task-space dynamics, constrained dynamics, and practical effects due to gearing and friction."
64,Chapter 9:  Trajectory Generation (Part 1 of 2),4,https://www.coursera.org/learn/modernrobotics-course3?specialization=modernrobotics,"Point-to-point ""straight-line"" trajectories and polynomial trajectories passing through via points."
65,Chapter 9:  Trajectory Generation (Part 2 of 2),4,https://www.coursera.org/learn/modernrobotics-course3?specialization=modernrobotics,Time-optimal motions along a specified path subject to robot dynamics and actuator limits.
66,Chapter 10:  Motion Planning (Part 1 of 2),4,https://www.coursera.org/learn/modernrobotics-course4?specialization=modernrobotics,"C-space obstacles, graphs and trees, and A* graph search."
67,Chapter 10: Motion Planning (Part 2 of 2),4,https://www.coursera.org/learn/modernrobotics-course4?specialization=modernrobotics,"Motion planning on a discretized C-space grid, randomized sampling-based planners, virtual potential fields, and nonlinear optimization."
68,Chapter 11: Robot Control (Part 1 of 2),4,https://www.coursera.org/learn/modernrobotics-course4?specialization=modernrobotics,"First- and second-order linear error dynamics, stability of a feedback control system, and motion control of robots when the output of the controller commands joint velocities."
69,Chapter 11:  Robot Control (Part 2 of 2),4,https://www.coursera.org/learn/modernrobotics-course4?specialization=modernrobotics,"Motion control of robots when the output of the controller commands joint torques, force control, and hybrid motion-force control."
70,Module 0: Welcome to the Self-Driving Cars Specialization!,8,https://www.coursera.org/learn/intro-self-driving-cars,"This module will introduce you to the main concepts and layout of the specialization and discusses the major advances made in the field over the last two decades, highlighting the most recent progress made by major players in terms of safety and performance metrics, where available. "
71,Module 1: The Requirements for Autonomy,8,https://www.coursera.org/learn/intro-self-driving-cars,"Self-driving cars present an extremely rich and inter-disciplinary problem. This module introduces the language and structure of the problem definition, defining the most salient elements of the driving task and the driving environment."
72,Module 2: Self-Driving Hardware and Software Architectures,8,https://www.coursera.org/learn/intro-self-driving-cars,"System architectures for self-driving vehicles are extremely diverse, as no standardized solution has yet emerged.  This module describes both the hardware and software architectures commonly used and some of the tradeoffs in terms of cost, reliability, performance and complexity that constrain autonomous vehicle design."
73,Module 3: Safety Assurance for Autonomous Vehicles,8,https://www.coursera.org/learn/intro-self-driving-cars,"As the self-driving domain matures, the requirement for safety assurance on public roads become more critical to self-driving developers.  You will evaluate the challenges and approaches employed to date to tackle the immense challenge of assuring the safe operation of autonomous vehicles in an uncontrolled public road driving environment.  "
74,Module 4: Vehicle Dynamic Modeling,8,https://www.coursera.org/learn/intro-self-driving-cars,"The first task for automating an driverless vehicle is to define a model for how the vehicle moves given steering, throttle and brake commands.  This module progresses through a sequence of increasing fidelity physics-based models that are used to design vehicle controllers and motion planners that adhere to the limits of vehicle capabilities. "
75,Module 5: Vehicle Longitudinal Control,8,https://www.coursera.org/learn/intro-self-driving-cars,"Longitudinal control of an autonomous vehicle involves tracking a speed profile along a fixed path, and can be achieved with reasonable accuracy using classic control techniques. This week, you will learn how to develop a baseline controller that is applicable for a significant subset of driving conditions, which include most non-evasive or highly-dynamic motions."
76,Module 6: Vehicle Lateral Control,8,https://www.coursera.org/learn/intro-self-driving-cars,"This week, you will learn about how lateral vehicle control ensures that a fixed path through the environment is tracked accurately.  You will see how to define geometry of the path following control problem and develop both a simple geometric control and a dynamic model predictive control approach."
77,Module 7: Putting it all together,8,https://www.coursera.org/learn/intro-self-driving-cars,"For the last week of the course, now you will get hands on with a simulation of an autonomous vehicle that requires longitudinal and lateral vehicle control design to track a predefined path along a racetrack with a given speed profile.  You are encouraged to modify the speed profile and/or path to improve their lap time, without any requirement to do so.  Work and play!"
78,Module 0: Welcome to Course 2: State Estimation and Localization for Self-Driving Cars,6,https://www.coursera.org/learn/state-estimation-localization-self-driving-cars,This module introduces you to the main concepts discussed in the course and presents the layout of the course. The module describes and motivates the problems of state estimation and localization for self-driving cars.
79,Module 1: Least Squares,6,https://www.coursera.org/learn/state-estimation-localization-self-driving-cars,"The method of least squares, developed by Carl Friedrich Gauss in 1795, is a well known technique for estimating parameter values from data. This module provides a review of least squares, for the cases of unweighted and weighted observations. There is a deep connection between least squares and maximum likelihood estimators (when the observations are considered to be Gaussian random variables) and this connection is established and explained. Finally, the module develops a technique to transform the traditional 'batch' least squares estimator to a recursive form, suitable for online, real-time estimation applications."
80,Module 2: State Estimation - Linear and Nonlinear Kalman Filters,6,https://www.coursera.org/learn/state-estimation-localization-self-driving-cars,"Any engineer working on autonomous vehicles must understand the Kalman filter, first described in a paper by Rudolf Kalman in 1960. The filter has been recognized as one of the top 10 algorithms of the 20th century, is implemented in software that runs on your smartphone and on modern jet aircraft, and was crucial to enabling the Apollo spacecraft to reach the moon. This module derives the Kalman filter equations from a least squares perspective, for linear systems. The module also examines why the Kalman filter is the best linear unbiased estimator (that is, it is optimal in the linear case). The Kalman filter, as originally published, is a linear algorithm; however, all systems in practice are nonlinear to some degree. Shortly after the Kalman filter was developed, it was extended to nonlinear systems, resulting in an algorithm now called the ‘extended’ Kalman filter, or EKF. The EKF is the ‘bread and butter’ of state estimators, and should be in every engineer’s toolbox. This module explains how the EKF operates (i.e., through linearization) and discusses its relationship to the original Kalman filter. The module also provides an overview of the unscented Kalman filter, a more recently developed and very popular member of the Kalman filter family."
81,Module 3: GNSS/INS Sensing for Pose Estimation,6,https://www.coursera.org/learn/state-estimation-localization-self-driving-cars,"To navigate reliably, autonomous vehicles require an estimate of their pose (position and orientation) in the world (and on the road) at all times. Much like for modern aircraft, this information can be derived from a combination of GPS measurements and inertial navigation system (INS) data. This module introduces sensor models for inertial measurement units and GPS (and, more broadly, GNSS) receivers; performance and noise characteristics are reviewed. The module describes ways in which the two sensor systems can be used in combination to provide accurate and robust vehicle pose estimates."
82,Module 4: LIDAR Sensing,6,https://www.coursera.org/learn/state-estimation-localization-self-driving-cars,"LIDAR (light detection and ranging) sensing is an enabling technology for self-driving vehicles. LIDAR sensors can ‘see’ farther than cameras and are able to provide accurate range information. This module develops a basic LIDAR sensor model and explores how LIDAR data can be used to produce point clouds (collections of 3D points in a specific reference frame). Learners will examine ways in which two LIDAR point clouds can be registered, or aligned, in order to determine how the pose of the vehicle has changed with time (i.e., the transformation between two local reference frames)."
