,Course Names,Course Length,Course Descriptions,Chapter Names,Chapter Links
10,Methods and Statistics in Social Sciences Specialization,5,"Identify interesting questions, analyze data sets, and correctly interpret results to make solid, evidence-based decisions.This Specialization covers research methods, design and statistical analysis for social science research questions. In the final Capstone Project, youâll apply the skills you learned by developing your own research question, gathering data, and analyzing and reporting on the results using statistical methods.",Basic Statistics,https://www.coursera.org/learn/basic-statistics?specialization=social-science
11,Methods and Statistics in Social Sciences Specialization,5,"Identify interesting questions, analyze data sets, and correctly interpret results to make solid, evidence-based decisions.This Specialization covers research methods, design and statistical analysis for social science research questions. In the final Capstone Project, youâll apply the skills you learned by developing your own research question, gathering data, and analyzing and reporting on the results using statistical methods.",Inferential Statistics,https://www.coursera.org/learn/inferential-statistics?specialization=social-science
12,Methods and Statistics in Social Sciences Specialization,5,"Identify interesting questions, analyze data sets, and correctly interpret results to make solid, evidence-based decisions.This Specialization covers research methods, design and statistical analysis for social science research questions. In the final Capstone Project, youâll apply the skills you learned by developing your own research question, gathering data, and analyzing and reporting on the results using statistical methods.",Methods and Statistics in Social Science - Final Research Project,https://www.coursera.org/learn/social-science-capstone
13,Data Science: Statistics and Machine Learning Specialization,5,"Build models, make inferences, and deliver interactive data products.This specialization continues and develops on the material from the Data Science: Foundations using R specialization. It covers statistical inference, regression models, machine learning, and the development of data products. In the Capstone Project, youâll apply the skills learned by building a data product using real-world data. At completion, learners will have a portfolio demonstrating their mastery of the material.

The five courses in this specialization are the very same courses that make up the second half of the Data Science Specialization. This specialization is presented for learners who have already mastered the fundamentals and want to skip right to the more advanced courses.",Statistical Inference,https://www.coursera.org/learn/statistical-inference?specialization=data-science-statistics-machine-learning
14,Data Science: Statistics and Machine Learning Specialization,5,"Build models, make inferences, and deliver interactive data products.This specialization continues and develops on the material from the Data Science: Foundations using R specialization. It covers statistical inference, regression models, machine learning, and the development of data products. In the Capstone Project, youâll apply the skills learned by building a data product using real-world data. At completion, learners will have a portfolio demonstrating their mastery of the material.

The five courses in this specialization are the very same courses that make up the second half of the Data Science Specialization. This specialization is presented for learners who have already mastered the fundamentals and want to skip right to the more advanced courses.",Regression Models,https://www.coursera.org/learn/regression-models?specialization=data-science-statistics-machine-learning
15,Data Science: Statistics and Machine Learning Specialization,5,"Build models, make inferences, and deliver interactive data products.This specialization continues and develops on the material from the Data Science: Foundations using R specialization. It covers statistical inference, regression models, machine learning, and the development of data products. In the Capstone Project, youâll apply the skills learned by building a data product using real-world data. At completion, learners will have a portfolio demonstrating their mastery of the material.

The five courses in this specialization are the very same courses that make up the second half of the Data Science Specialization. This specialization is presented for learners who have already mastered the fundamentals and want to skip right to the more advanced courses.",Practical Machine Learning,https://www.coursera.org/learn/practical-machine-learning?specialization=data-science-statistics-machine-learning
16,Data Science: Statistics and Machine Learning Specialization,5,"Build models, make inferences, and deliver interactive data products.This specialization continues and develops on the material from the Data Science: Foundations using R specialization. It covers statistical inference, regression models, machine learning, and the development of data products. In the Capstone Project, youâll apply the skills learned by building a data product using real-world data. At completion, learners will have a portfolio demonstrating their mastery of the material.

The five courses in this specialization are the very same courses that make up the second half of the Data Science Specialization. This specialization is presented for learners who have already mastered the fundamentals and want to skip right to the more advanced courses.",Developing Data Products,https://www.coursera.org/learn/data-products?specialization=data-science-statistics-machine-learning
17,Data Science: Statistics and Machine Learning Specialization,5,"Build models, make inferences, and deliver interactive data products.This specialization continues and develops on the material from the Data Science: Foundations using R specialization. It covers statistical inference, regression models, machine learning, and the development of data products. In the Capstone Project, youâll apply the skills learned by building a data product using real-world data. At completion, learners will have a portfolio demonstrating their mastery of the material.

The five courses in this specialization are the very same courses that make up the second half of the Data Science Specialization. This specialization is presented for learners who have already mastered the fundamentals and want to skip right to the more advanced courses.",Data Science Capstone,https://www.coursera.org/learn/data-science-project
18,Business Statistics and Analysis Specialization,5,"The Business Statistics and Analysis Specialization is designed to equip you with a basic understanding of business data analysis tools and techniques. Youâll master essential spreadsheet functions, build descriptive business data measures, and develop your aptitude for data modeling. Youâll also explore basic probability concepts, including measuring and modeling uncertainty, and youâll use various data distributions, along with the Linear Regression Model, to analyze and inform business decisions. The Specialization culminates with a Capstone Project in which youâll apply the skills and knowledge youâve gained to an actual business problem.To successfully complete all course assignments, students must have access to a Windows version of Microsoft Excel 2010 or later.

To see an overview video for this Specialization, click here!",Introduction to Data Analysis Using Excel,https://www.coursera.org/learn/excel-data-analysis?specialization=business-statistics-analysis
19,Business Statistics and Analysis Specialization,5,"The Business Statistics and Analysis Specialization is designed to equip you with a basic understanding of business data analysis tools and techniques. Youâll master essential spreadsheet functions, build descriptive business data measures, and develop your aptitude for data modeling. Youâll also explore basic probability concepts, including measuring and modeling uncertainty, and youâll use various data distributions, along with the Linear Regression Model, to analyze and inform business decisions. The Specialization culminates with a Capstone Project in which youâll apply the skills and knowledge youâve gained to an actual business problem.To successfully complete all course assignments, students must have access to a Windows version of Microsoft Excel 2010 or later.

To see an overview video for this Specialization, click here!","Basic Data Descriptors, Statistical Distributions, and Application to Business Decisions",https://www.coursera.org/learn/descriptive-statistics-statistical-distributions-business-application?specialization=business-statistics-analysis
20,Business Statistics and Analysis Specialization,5,"The Business Statistics and Analysis Specialization is designed to equip you with a basic understanding of business data analysis tools and techniques. Youâll master essential spreadsheet functions, build descriptive business data measures, and develop your aptitude for data modeling. Youâll also explore basic probability concepts, including measuring and modeling uncertainty, and youâll use various data distributions, along with the Linear Regression Model, to analyze and inform business decisions. The Specialization culminates with a Capstone Project in which youâll apply the skills and knowledge youâve gained to an actual business problem.To successfully complete all course assignments, students must have access to a Windows version of Microsoft Excel 2010 or later.

To see an overview video for this Specialization, click here!",Business Applications of Hypothesis Testing and Confidence Interval Estimation ,https://www.coursera.org/learn/hypothesis-testing-confidence-intervals?specialization=business-statistics-analysis
21,Business Statistics and Analysis Specialization,5,"The Business Statistics and Analysis Specialization is designed to equip you with a basic understanding of business data analysis tools and techniques. Youâll master essential spreadsheet functions, build descriptive business data measures, and develop your aptitude for data modeling. Youâll also explore basic probability concepts, including measuring and modeling uncertainty, and youâll use various data distributions, along with the Linear Regression Model, to analyze and inform business decisions. The Specialization culminates with a Capstone Project in which youâll apply the skills and knowledge youâve gained to an actual business problem.To successfully complete all course assignments, students must have access to a Windows version of Microsoft Excel 2010 or later.

To see an overview video for this Specialization, click here!",Linear Regression for Business Statistics,https://www.coursera.org/learn/linear-regression-business-statistics?specialization=business-statistics-analysis
22,Business Statistics and Analysis Specialization,5,"The Business Statistics and Analysis Specialization is designed to equip you with a basic understanding of business data analysis tools and techniques. Youâll master essential spreadsheet functions, build descriptive business data measures, and develop your aptitude for data modeling. Youâll also explore basic probability concepts, including measuring and modeling uncertainty, and youâll use various data distributions, along with the Linear Regression Model, to analyze and inform business decisions. The Specialization culminates with a Capstone Project in which youâll apply the skills and knowledge youâve gained to an actual business problem.To successfully complete all course assignments, students must have access to a Windows version of Microsoft Excel 2010 or later.

To see an overview video for this Specialization, click here!",Business Statistics and Analysis Capstone,https://www.coursera.org/learn/business-statistics-analysis-capstone
23,IBM Data Science Professional Certificate,4,"Data Science has been ranked as one of the hottest professions and the demand for data practitioners is booming. This Professional Certificate from IBM is intended for anyone interested in developing skills and experience to pursue a career in Data Science or Machine Learning.

This program consists of 9 courses providing you with latest job-ready skills and techniques covering a wide array of data science topics including: open source tools and libraries, methodologies, Python, databases, SQL, data visualization, data analysis, and machine learning. You will practice hands-on in the IBM Cloud using real data science tools and real-world data sets.

It is a myth that to become a data scientist you need a Ph.D. This Professional Certificate is suitable for anyone who has some computer skills and a passion for self-learning. No prior computer science or programming knowledge is necessary. We start small, re-enforce applied learning, and build up to more complex topics.

Upon successfully completing these courses you will have done several hands-on assignments and built a portfolio of data science projects to provide you with the confidence to plunge into an exciting profession in Data Science. In addition to earning a Professional Certificate from Coursera, you will also receive a digital Badge from IBM recognizing your proficiency in Data Science.

LIMITED TIME OFFER: Subscription is only $39 USD per month for access to graded materials and a certificate.",What is Data Science? ,https://www.coursera.org/learn/what-is-datascience?specialization=ibm-data-science
24,IBM Data Science Professional Certificate,4,"Data Science has been ranked as one of the hottest professions and the demand for data practitioners is booming. This Professional Certificate from IBM is intended for anyone interested in developing skills and experience to pursue a career in Data Science or Machine Learning.

This program consists of 9 courses providing you with latest job-ready skills and techniques covering a wide array of data science topics including: open source tools and libraries, methodologies, Python, databases, SQL, data visualization, data analysis, and machine learning. You will practice hands-on in the IBM Cloud using real data science tools and real-world data sets.

It is a myth that to become a data scientist you need a Ph.D. This Professional Certificate is suitable for anyone who has some computer skills and a passion for self-learning. No prior computer science or programming knowledge is necessary. We start small, re-enforce applied learning, and build up to more complex topics.

Upon successfully completing these courses you will have done several hands-on assignments and built a portfolio of data science projects to provide you with the confidence to plunge into an exciting profession in Data Science. In addition to earning a Professional Certificate from Coursera, you will also receive a digital Badge from IBM recognizing your proficiency in Data Science.

LIMITED TIME OFFER: Subscription is only $39 USD per month for access to graded materials and a certificate.",Open Source tools for Data Science,https://www.coursera.org/learn/open-source-tools-for-data-science?specialization=ibm-data-science
25,IBM Data Science Professional Certificate,4,"Data Science has been ranked as one of the hottest professions and the demand for data practitioners is booming. This Professional Certificate from IBM is intended for anyone interested in developing skills and experience to pursue a career in Data Science or Machine Learning.

This program consists of 9 courses providing you with latest job-ready skills and techniques covering a wide array of data science topics including: open source tools and libraries, methodologies, Python, databases, SQL, data visualization, data analysis, and machine learning. You will practice hands-on in the IBM Cloud using real data science tools and real-world data sets.

It is a myth that to become a data scientist you need a Ph.D. This Professional Certificate is suitable for anyone who has some computer skills and a passion for self-learning. No prior computer science or programming knowledge is necessary. We start small, re-enforce applied learning, and build up to more complex topics.

Upon successfully completing these courses you will have done several hands-on assignments and built a portfolio of data science projects to provide you with the confidence to plunge into an exciting profession in Data Science. In addition to earning a Professional Certificate from Coursera, you will also receive a digital Badge from IBM recognizing your proficiency in Data Science.

LIMITED TIME OFFER: Subscription is only $39 USD per month for access to graded materials and a certificate.",Data Science Methodology,https://www.coursera.org/learn/data-science-methodology?specialization=ibm-data-science
26,IBM Data Science Professional Certificate,4,"Data Science has been ranked as one of the hottest professions and the demand for data practitioners is booming. This Professional Certificate from IBM is intended for anyone interested in developing skills and experience to pursue a career in Data Science or Machine Learning.

This program consists of 9 courses providing you with latest job-ready skills and techniques covering a wide array of data science topics including: open source tools and libraries, methodologies, Python, databases, SQL, data visualization, data analysis, and machine learning. You will practice hands-on in the IBM Cloud using real data science tools and real-world data sets.

It is a myth that to become a data scientist you need a Ph.D. This Professional Certificate is suitable for anyone who has some computer skills and a passion for self-learning. No prior computer science or programming knowledge is necessary. We start small, re-enforce applied learning, and build up to more complex topics.

Upon successfully completing these courses you will have done several hands-on assignments and built a portfolio of data science projects to provide you with the confidence to plunge into an exciting profession in Data Science. In addition to earning a Professional Certificate from Coursera, you will also receive a digital Badge from IBM recognizing your proficiency in Data Science.

LIMITED TIME OFFER: Subscription is only $39 USD per month for access to graded materials and a certificate.",Python for Data Science and AI,https://www.coursera.org/learn/python-for-applied-data-science-ai?specialization=ibm-data-science
27,Data Science Specialization,10,"Ask the right questions, manipulate data sets, and create visualizations to communicate results.This Specialization covers the concepts and tools you'll need throughout the entire data science pipeline, from asking the right kinds of questions to making inferences and publishing results. In the final Capstone Project, youâll apply the skills learned by building a data product using real-world data. At completion, students will have a portfolio demonstrating their mastery of the material.",The Data Scientist’s Toolbox,https://www.coursera.org/learn/data-scientists-tools?specialization=jhu-data-science
28,Data Science Specialization,10,"Ask the right questions, manipulate data sets, and create visualizations to communicate results.This Specialization covers the concepts and tools you'll need throughout the entire data science pipeline, from asking the right kinds of questions to making inferences and publishing results. In the final Capstone Project, youâll apply the skills learned by building a data product using real-world data. At completion, students will have a portfolio demonstrating their mastery of the material.",R Programming,https://www.coursera.org/learn/r-programming?specialization=jhu-data-science
29,Data Science Specialization,10,"Ask the right questions, manipulate data sets, and create visualizations to communicate results.This Specialization covers the concepts and tools you'll need throughout the entire data science pipeline, from asking the right kinds of questions to making inferences and publishing results. In the final Capstone Project, youâll apply the skills learned by building a data product using real-world data. At completion, students will have a portfolio demonstrating their mastery of the material.",Getting and Cleaning Data,https://www.coursera.org/learn/data-cleaning?specialization=jhu-data-science
30,Data Science Specialization,10,"Ask the right questions, manipulate data sets, and create visualizations to communicate results.This Specialization covers the concepts and tools you'll need throughout the entire data science pipeline, from asking the right kinds of questions to making inferences and publishing results. In the final Capstone Project, youâll apply the skills learned by building a data product using real-world data. At completion, students will have a portfolio demonstrating their mastery of the material.",Exploratory Data Analysis,https://www.coursera.org/learn/exploratory-data-analysis?specialization=jhu-data-science
31,Data Science Specialization,10,"Ask the right questions, manipulate data sets, and create visualizations to communicate results.This Specialization covers the concepts and tools you'll need throughout the entire data science pipeline, from asking the right kinds of questions to making inferences and publishing results. In the final Capstone Project, youâll apply the skills learned by building a data product using real-world data. At completion, students will have a portfolio demonstrating their mastery of the material.",Reproducible Research,https://www.coursera.org/learn/reproducible-research
32,Data Science Specialization,10,"Ask the right questions, manipulate data sets, and create visualizations to communicate results.This Specialization covers the concepts and tools you'll need throughout the entire data science pipeline, from asking the right kinds of questions to making inferences and publishing results. In the final Capstone Project, youâll apply the skills learned by building a data product using real-world data. At completion, students will have a portfolio demonstrating their mastery of the material.",Statistical Inference,https://www.coursera.org/learn/statistical-inference
33,Data Science Specialization,10,"Ask the right questions, manipulate data sets, and create visualizations to communicate results.This Specialization covers the concepts and tools you'll need throughout the entire data science pipeline, from asking the right kinds of questions to making inferences and publishing results. In the final Capstone Project, youâll apply the skills learned by building a data product using real-world data. At completion, students will have a portfolio demonstrating their mastery of the material.",Regression Models,https://www.coursera.org/learn/regression-models
34,Data Science Specialization,10,"Ask the right questions, manipulate data sets, and create visualizations to communicate results.This Specialization covers the concepts and tools you'll need throughout the entire data science pipeline, from asking the right kinds of questions to making inferences and publishing results. In the final Capstone Project, youâll apply the skills learned by building a data product using real-world data. At completion, students will have a portfolio demonstrating their mastery of the material.",Practical Machine Learning,https://www.coursera.org/learn/practical-machine-learning
35,Data Science Specialization,10,"Ask the right questions, manipulate data sets, and create visualizations to communicate results.This Specialization covers the concepts and tools you'll need throughout the entire data science pipeline, from asking the right kinds of questions to making inferences and publishing results. In the final Capstone Project, youâll apply the skills learned by building a data product using real-world data. At completion, students will have a portfolio demonstrating their mastery of the material.",Developing Data Products,https://www.coursera.org/learn/data-products
36,Data Science Specialization,10,"Ask the right questions, manipulate data sets, and create visualizations to communicate results.This Specialization covers the concepts and tools you'll need throughout the entire data science pipeline, from asking the right kinds of questions to making inferences and publishing results. In the final Capstone Project, youâll apply the skills learned by building a data product using real-world data. At completion, students will have a portfolio demonstrating their mastery of the material.",Data Science Capstone,https://www.coursera.org/learn/data-science-project
37,Advanced Machine Learning Specialization,4,"This specialization gives an introduction to deep learning, reinforcement learning, natural language understanding, computer vision and Bayesian methods. Top Kaggle machine learning practitioners and CERN scientists will share their experience of solving real-world problems and help you to fill the gaps between theory and practice. Upon completion of 7 courses you will be able to apply modern machine learning methods in enterprise and understand the caveats of real-world data and settings.",Introduction to Deep Learning,https://www.coursera.org/learn/intro-to-deep-learning?specialization=aml
38,Advanced Machine Learning Specialization,4,"This specialization gives an introduction to deep learning, reinforcement learning, natural language understanding, computer vision and Bayesian methods. Top Kaggle machine learning practitioners and CERN scientists will share their experience of solving real-world problems and help you to fill the gaps between theory and practice. Upon completion of 7 courses you will be able to apply modern machine learning methods in enterprise and understand the caveats of real-world data and settings.",How to Win a Data Science Competition: Learn from Top Kagglers,https://www.coursera.org/learn/competitive-data-science?specialization=aml
39,Advanced Machine Learning Specialization,4,"This specialization gives an introduction to deep learning, reinforcement learning, natural language understanding, computer vision and Bayesian methods. Top Kaggle machine learning practitioners and CERN scientists will share their experience of solving real-world problems and help you to fill the gaps between theory and practice. Upon completion of 7 courses you will be able to apply modern machine learning methods in enterprise and understand the caveats of real-world data and settings.",Bayesian Methods for Machine Learning,https://www.coursera.org/learn/bayesian-methods-in-machine-learning?specialization=aml
40,Advanced Machine Learning Specialization,4,"This specialization gives an introduction to deep learning, reinforcement learning, natural language understanding, computer vision and Bayesian methods. Top Kaggle machine learning practitioners and CERN scientists will share their experience of solving real-world problems and help you to fill the gaps between theory and practice. Upon completion of 7 courses you will be able to apply modern machine learning methods in enterprise and understand the caveats of real-world data and settings.",Practical Reinforcement Learning,https://www.coursera.org/learn/practical-rl?specialization=aml
41,Mathematics for Machine Learning Specialization,3,"For a lot of higher level courses in Machine Learning and Data Science, you find you need to freshen up on the basics in mathematics - stuff you may have studied before in school or university, but which was taught in another context, or not very intuitively, such that you struggle to relate it to how itâs used in Computer Science. This specialization aims to bridge that gap, getting you up to speed in the underlying mathematics, building an intuitive understanding, and relating it to Machine Learning and Data Science.In the first course on Linear Algebra we look at what linear algebra is and how it relates to data. Then we look through what vectors and matrices are and how to work with them.

The second course, Multivariate Calculus, builds on this to look at how to optimize fitting functions to get good fits to data. It starts from introductory calculus and then uses the matrices and vectors from the first course to look at data fitting.

The third course, Dimensionality Reduction with Principal Component Analysis, uses the mathematics from the first two courses to compress high-dimensional data. This course is of intermediate difficulty and will require Python and numpy knowledge.

At the end of this specialization you will have gained the prerequisite mathematical knowledge to continue your journey and take more advanced courses in machine learning.",Mathematics for Machine Learning: Linear Algebra,https://www.coursera.org/learn/linear-algebra-machine-learning
42,Mathematics for Machine Learning Specialization,3,"For a lot of higher level courses in Machine Learning and Data Science, you find you need to freshen up on the basics in mathematics - stuff you may have studied before in school or university, but which was taught in another context, or not very intuitively, such that you struggle to relate it to how itâs used in Computer Science. This specialization aims to bridge that gap, getting you up to speed in the underlying mathematics, building an intuitive understanding, and relating it to Machine Learning and Data Science.In the first course on Linear Algebra we look at what linear algebra is and how it relates to data. Then we look through what vectors and matrices are and how to work with them.

The second course, Multivariate Calculus, builds on this to look at how to optimize fitting functions to get good fits to data. It starts from introductory calculus and then uses the matrices and vectors from the first course to look at data fitting.

The third course, Dimensionality Reduction with Principal Component Analysis, uses the mathematics from the first two courses to compress high-dimensional data. This course is of intermediate difficulty and will require Python and numpy knowledge.

At the end of this specialization you will have gained the prerequisite mathematical knowledge to continue your journey and take more advanced courses in machine learning.",Mathematics for Machine Learning: Multivariate Calculus,https://www.coursera.org/learn/multivariate-calculus-machine-learning
43,Mathematics for Machine Learning Specialization,3,"For a lot of higher level courses in Machine Learning and Data Science, you find you need to freshen up on the basics in mathematics - stuff you may have studied before in school or university, but which was taught in another context, or not very intuitively, such that you struggle to relate it to how itâs used in Computer Science. This specialization aims to bridge that gap, getting you up to speed in the underlying mathematics, building an intuitive understanding, and relating it to Machine Learning and Data Science.In the first course on Linear Algebra we look at what linear algebra is and how it relates to data. Then we look through what vectors and matrices are and how to work with them.

The second course, Multivariate Calculus, builds on this to look at how to optimize fitting functions to get good fits to data. It starts from introductory calculus and then uses the matrices and vectors from the first course to look at data fitting.

The third course, Dimensionality Reduction with Principal Component Analysis, uses the mathematics from the first two courses to compress high-dimensional data. This course is of intermediate difficulty and will require Python and numpy knowledge.

At the end of this specialization you will have gained the prerequisite mathematical knowledge to continue your journey and take more advanced courses in machine learning.",Mathematics for Machine Learning: PCA,https://www.coursera.org/learn/pca-machine-learning
44,Mathematics for Data Science Specialization,4,"Behind numerous standard models and constructions in Data Science there is mathematics that makes things work. It is important to understand it to be successful in Data Science. In this specialisation we will cover wide range of mathematical tools and see how they arise in Data Science. We will cover such crucial fields as Discrete Mathematics, Calculus, Linear Algebra and Probability. To make your experience more practical we accompany mathematics with examples and problems arising in Data Science and show how to solve them in Python.",Discrete Math and Analyzing Social Graphs,https://www.coursera.org/learn/discrete-math-and-analyzing-social-graphs
45,Mathematics for Data Science Specialization,4,"Behind numerous standard models and constructions in Data Science there is mathematics that makes things work. It is important to understand it to be successful in Data Science. In this specialisation we will cover wide range of mathematical tools and see how they arise in Data Science. We will cover such crucial fields as Discrete Mathematics, Calculus, Linear Algebra and Probability. To make your experience more practical we accompany mathematics with examples and problems arising in Data Science and show how to solve them in Python.",Calculus and Optimization for Machine Learning,https://www.coursera.org/learn/calculus-and-optimization-for-machine-learning
46,Mathematics for Data Science Specialization,4,"Behind numerous standard models and constructions in Data Science there is mathematics that makes things work. It is important to understand it to be successful in Data Science. In this specialisation we will cover wide range of mathematical tools and see how they arise in Data Science. We will cover such crucial fields as Discrete Mathematics, Calculus, Linear Algebra and Probability. To make your experience more practical we accompany mathematics with examples and problems arising in Data Science and show how to solve them in Python.",First Steps in Linear Algebra for Machine Learning,https://www.coursera.org/learn/first-steps-in-linear-algebra-for-machine-learning
47,Mathematics for Data Science Specialization,4,"Behind numerous standard models and constructions in Data Science there is mathematics that makes things work. It is important to understand it to be successful in Data Science. In this specialisation we will cover wide range of mathematical tools and see how they arise in Data Science. We will cover such crucial fields as Discrete Mathematics, Calculus, Linear Algebra and Probability. To make your experience more practical we accompany mathematics with examples and problems arising in Data Science and show how to solve them in Python.","Probability Theory, Statistics and Exploratory Data Analysis",https://www.coursera.org/learn/probability-theory-statistics
48,Advanced Data Science with IBM Specialization,4,"As a coursera certified specialization completer you will have a proven deep understanding on massive parallel data processing, data exploration and visualization, and advanced machine learning & deep learning. You'll understand the mathematical foundations behind all machine learning & deep learning algorithms. You can apply knowledge in practical use cases, justify architectural decisions, understand the characteristics of different algorithms, frameworks & technologies & how they impact model performance & scalability.If you choose to take this specialization and earn the Coursera specialization certificate, you will also earn an IBM digital badge. To find out more about IBM digital badges follow the link ibm.biz/badging.",Fundamentals of Scalable Data Science,https://www.coursera.org/learn/ds
49,Advanced Data Science with IBM Specialization,4,"As a coursera certified specialization completer you will have a proven deep understanding on massive parallel data processing, data exploration and visualization, and advanced machine learning & deep learning. You'll understand the mathematical foundations behind all machine learning & deep learning algorithms. You can apply knowledge in practical use cases, justify architectural decisions, understand the characteristics of different algorithms, frameworks & technologies & how they impact model performance & scalability.If you choose to take this specialization and earn the Coursera specialization certificate, you will also earn an IBM digital badge. To find out more about IBM digital badges follow the link ibm.biz/badging.",Advanced Machine Learning and Signal Processing,https://www.coursera.org/learn/advanced-machine-learning-signal-processing
