,Section Names,Section Length,Chapter Links,Section Descriptions
10,Welcome,5,https://www.coursera.org/learn/java-programming-arrays-lists-data?specialization=java-programming,"In this module, you will learn about the basics of cryptography, the science of keeping information private and secure. You will learn about simpler cryptographic systems, which were used from the Roman Empire through the early 1900s. You will learn how to implement these ciphers, as well as how to break them. To solve these problems, you will work more with processing Strings, but also learn about arrays—a way to store an indexable sequence of elements. You will be able to: (1) combine Strings using concatenation; (2) build Strings within a Java program using StringBuilder; (3) use arrays to store and manipulate collections of data; (4) refactor your programs for improved organization using object-oriented principles; (5) and practice effective algorithm design."
11,Cryptography: Keeping Information Secret,5,https://www.coursera.org/learn/java-programming-arrays-lists-data?specialization=java-programming,"After completing this module, you will be able (1) to program a word frequency counter to analyze any input text file, (2) to select and substitute words from a list into a document template using both ArrayList and HashMap, (3) to create new lists to use in templates, (4) to recognize brittle code, and (5) to improve code with flexible, object-oriented design. You will gain these skills in the framework of developing a randomly generated story that we call GladLibs. You may discover that bald lions change peoples’ lives, or that fluffy dinosaurs get things done in a jiffy. We hope you have fun developing your Java skills this week!"
12,GladLibs: Stories from Templates,5,https://www.coursera.org/learn/java-programming-arrays-lists-data?specialization=java-programming,"In this module, you will learn about how web server logs store information about visitors to a website, and you will write programs to access information like user IP address, date and time of access, and more. Using Java programs you write in this module, you will be able (1) to read information from a web server log, (2) to count the number of unique visitors to your website, and (3) to count the number of times each visitor uses your website."
13,Web Server Logs: From Logs to Visits,5,https://www.coursera.org/learn/java-programming-arrays-lists-data?specialization=java-programming,"In this module, you will develop a program to break the Vigenère Cipher, a more complex version of the Caesar Cipher. You will improve your program in three stages: first decrypting messages where you know the language and key length, then adding the capability to handle messages with unknown key length, then extending the program to handle messages in a range of possible languages. Through this project, you will be able (1) to effectively use HashSet and HashMap, (2) to expand an algorithm from solving a simpler problem to handle broader, more complex problems, and (3) to design and modify program code involving a more complex collection of classes, methods, and data. "
14,MiniProject: Vigenère Cipher,5,https://www.coursera.org/learn/java-programming-arrays-lists-data?specialization=java-programming,"Duke University has about 13,000 undergraduate and graduate students and a world-class faculty helping to expand the frontiers of knowledge. The university has a strong commitment to applying knowledge in service to society, both near its North Carolina campus and around the world."
15,Welcome to the Course,5,https://www.coursera.org/learn/java-programming-design-principles?specialization=java-programming,"In this module, we will introduce a data set containing details about earthquakes around the world. You will learn how to pull this data into a program, search through the data, and filter the data based on desired criteria. By the end of this module, you will be able to (1) write programs that include multiple classes and ArrayLists of class types, (2) find the maximum value in an ArrayList, (3) use a Filter interface to search through data, (4) implement interfaces with method signatures, and (5) combine several filters together."
16,Earthquakes: Programming and Interfaces,5,https://www.coursera.org/learn/java-programming-design-principles?specialization=java-programming,"In this module, you will continue using real earthquake data to explore several sorting algorithms. You will learn how to implement a selection sort and a bubble sort, then be introduced to a Java method Collections.sort, which sorts with much greater efficiency. By the end of this module, you will be able to (1) implement several sorting algorithms from scratch, (2) use efficient pre-existing sorting classes, (3) modify a class’s compareTo method to choose the criteria by which objects of that type are ordered, and (4) write classes that implement the Comparator interface to create interchangeable sorting criteria."
17,Earthquakes: Sorting Algorithms,5,https://www.coursera.org/learn/java-programming-design-principles?specialization=java-programming,"In this module, you will explore some of the underlying concepts of predictive text. The first lesson will introduce random character generation and then how to train the character selection based on an input text. The second lesson will extend this concept to complete words. By the end of this module, you will be able to: (1) base random text generation on the frequency of characters in a training text, (2) collect a set of characters that occur in a text after randomly chosen initial character(s) to create a semi-random text, (3) extend the predictive text generation to use whole words, and (4) implement your own .equals method to compare complex data types."
18,N-Grams: Predictive Text,5,https://www.coursera.org/learn/java-programming-design-principles?specialization=java-programming,"As you reach the end of this series, you may wish to extend your Java experience to tools beyond those provided here. This module will cover some of the Java basic information that is needed to program without BlueJ or the edu.duke library. After completing this module, you will be able to: (1) write a main method to start a Java program in any programming environment, (2) use the “static” keyword to modify fields, (3) find alternative editors to use with Java, (4) use exceptions to debug your program and make it more robust, and (5) reference Java libraries that are necessary to read files without the edu.duke library."
19,Java: Tools and Libraries for Everyone,5,https://www.coursera.org/learn/java-programming-design-principles?specialization=java-programming,"Duke University has about 13,000 undergraduate and graduate students and a world-class faculty helping to expand the frontiers of knowledge. The university has a strong commitment to applying knowledge in service to society, both near its North Carolina campus and around the world."
20,Introducing the Recommender,5,https://www.coursera.org/learn/java-programming-recommender,Your second step in building a recommender will focus on making simple recommendations based on the average ratings that a movie receives. You'll also make sure that each recommended movie has a least a minimal number of user ratings before including it in your recommendations. Throughout this step you are encouraged you use your knowledge of the seven step process to design useful algorithms and successful programs to solve the challenges you will face.
21,Simple Recommendations,5,https://www.coursera.org/learn/java-programming-recommender,"In your third step, you will be encouraged to use interfaces to rewrite your existing code, making it more flexible and more efficient. You will also add filters to select a desired subset of movies that you want to recommend, such as 'all movies under two hours long' or 'all movies made in 2012'. You'll also make your recommendation engine more efficient as you practice software design principles such as refactoring."
22,"Interfaces, Filters, Database",5,https://www.coursera.org/learn/java-programming-recommender,"In your fourth step, you will complete your recommendation engine by finding users in the database that have similar ratings and weighting their input to provide a more personal recommendation for the users of your program. Once you complete this step, you could request ratings of movies from those you know, run your program, and give them recommendations tailored to their own interests and tastes!"
23,Weighted Averages,5,https://www.coursera.org/learn/java-programming-recommender,"Congratulations on completing your recommender programming project! As we conclude this capstone course, our instructors have a few parting words as you embark in future learning and work in computer science!"
24,Farewell,5,https://www.coursera.org/learn/java-programming-recommender,"Duke University has about 13,000 undergraduate and graduate students and a world-class faculty helping to expand the frontiers of knowledge. The university has a strong commitment to applying knowledge in service to society, both near its North Carolina campus and around the world."
25,Introduction to the Course,5,https://www.coursera.org/learn/java-programming,"In this module, you will learn to write and run your first Java programs, including one program that prints “Hello!” in various countries’ languages and another where you will analyze the perimeters and other information of shapes. To accomplish these tasks, you will learn the basics of Java syntax and how to design stepwise solutions with programs. By the end of this module, you will be able to: (1) Download and run BlueJ, the Java programming environment for this course; (2) Access the documentation for the Java libraries specially designed for this course; (3) Edit, compile, and run a Java program; (4) Construct methods, variables, if else statements, and for each loops in Java; and (5) Use Iterables (like DirectoryResource) to run a program that iterates over multiples lines in a document or webpage or multiple files in a directory."
26,Fundamental Java Syntax and Semantics,5,https://www.coursera.org/learn/java-programming,"This module begins with a short presentation from Raluca Gordân, an assistant professor in Duke University’s Center for Genomic and Computational Biology, about an important problem genomics scientists encounter regularly: how to identify genes in a strand of DNA. To tackle this problem, you will need to understand strings: series of characters such as letters, digits, punctuation, etc. After learning about Java methods that work with strings, you will be able to find genes within a DNA string as well as tackle other string related problems, such as finding all of the links in a web page. By the end of this module, you will be able to: (1) Use important methods for the Java String class; (2) Use conditionals, for loops, and while loops appropriately in a Java program; (3) Find patterns in the data represented by strings to help develop the algorithm for your program; (4) Understand the importance of designing programs that keep different data processing steps separate; (5) Use the StorageResource iterable for this course to store some data for further processing; and (6) Rely on Java documentation to better understand how to use different Java packages and classes."
27,Strings in Java,5,https://www.coursera.org/learn/java-programming,"A common format for storing tabular data (any data organized into columns and rows) is in comma separated values (CSV) files. In this module, you will learn how to analyze and manipulate data from multiple CSV data files using a powerful open-source software package: Apache Commons CSV. Using this library will empower you to solve problems that could prove too complex to solve with a spreadsheet. By the end of this module, you will be able to: (1) Use the open-source Apache Commons CSV package in your own Java programs; (2) Access data from one or many CSV files using Java; (3) Convert strings into numbers; (4) Understand how to use “null” in Java programs (when you want to represent “nothing”); (5) Devise an algorithm (and implement in Java) to answer questions about CSV data; and (6) Analyze CSV data across multiple CSV files (for example, find maximums, minimums, averages, and other simple statistical results)."
28,CSV Files and Basic Statistics in Java,5,https://www.coursera.org/learn/java-programming,"This module wraps up the course with a mini project that ties together the different practices, skills, and libraries you have gained across the course! Using data on the popularity of different baby names in the United States from the past several decades, you will be able to compare different names’ popularity over time. While the data we have collected for this course is from the United States, we welcome you to share data from other countries in the course discussion forums. Good luck with the mini project!"
29,MiniProject: Baby Names,5,https://www.coursera.org/learn/java-programming,"Duke University has about 13,000 undergraduate and graduate students and a world-class faculty helping to expand the frontiers of knowledge. The university has a strong commitment to applying knowledge in service to society, both near its North Carolina campus and around the world."
30,Welcome,5,https://www.coursera.org/learn/java-programming-arrays-lists-data,"In this module, you will learn about the basics of cryptography, the science of keeping information private and secure. You will learn about simpler cryptographic systems, which were used from the Roman Empire through the early 1900s. You will learn how to implement these ciphers, as well as how to break them. To solve these problems, you will work more with processing Strings, but also learn about arrays—a way to store an indexable sequence of elements. You will be able to: (1) combine Strings using concatenation; (2) build Strings within a Java program using StringBuilder; (3) use arrays to store and manipulate collections of data; (4) refactor your programs for improved organization using object-oriented principles; (5) and practice effective algorithm design."
31,Cryptography: Keeping Information Secret,5,https://www.coursera.org/learn/java-programming-arrays-lists-data,"After completing this module, you will be able (1) to program a word frequency counter to analyze any input text file, (2) to select and substitute words from a list into a document template using both ArrayList and HashMap, (3) to create new lists to use in templates, (4) to recognize brittle code, and (5) to improve code with flexible, object-oriented design. You will gain these skills in the framework of developing a randomly generated story that we call GladLibs. You may discover that bald lions change peoples’ lives, or that fluffy dinosaurs get things done in a jiffy. We hope you have fun developing your Java skills this week!"
32,GladLibs: Stories from Templates,5,https://www.coursera.org/learn/java-programming-arrays-lists-data,"In this module, you will learn about how web server logs store information about visitors to a website, and you will write programs to access information like user IP address, date and time of access, and more. Using Java programs you write in this module, you will be able (1) to read information from a web server log, (2) to count the number of unique visitors to your website, and (3) to count the number of times each visitor uses your website."
33,Web Server Logs: From Logs to Visits,5,https://www.coursera.org/learn/java-programming-arrays-lists-data,"In this module, you will develop a program to break the Vigenère Cipher, a more complex version of the Caesar Cipher. You will improve your program in three stages: first decrypting messages where you know the language and key length, then adding the capability to handle messages with unknown key length, then extending the program to handle messages in a range of possible languages. Through this project, you will be able (1) to effectively use HashSet and HashMap, (2) to expand an algorithm from solving a simpler problem to handle broader, more complex problems, and (3) to design and modify program code involving a more complex collection of classes, methods, and data. "
34,MiniProject: Vigenère Cipher,5,https://www.coursera.org/learn/java-programming-arrays-lists-data,"Duke University has about 13,000 undergraduate and graduate students and a world-class faculty helping to expand the frontiers of knowledge. The university has a strong commitment to applying knowledge in service to society, both near its North Carolina campus and around the world."
35,Welcome and Project Overview: Visualizing Data,6,https://www.coursera.org/learn/object-oriented-java,"We hope you’re excited about the project that we're starting to build -- we sure are!  In this second part of this week, we'll walk you through setting up your system and working through your first assignment so you'll be having fun with it in no time. Before that though, we'll finish going over some of the fundamentals fundamentals of object oriented programming.  Specifically, being able to trace code is a key skill in becoming a stronger programmer. Like the end of last week, the first part of this week might be a bit of a review of material you already learned in your first Java programming course.  If that’s the case, you are always welcome to skip to the first graded assignment on Objects, Memory Models, and Scope."
36,"Memory Models, Scope, and Starting the Project",6,https://www.coursera.org/learn/object-oriented-java,"Now that you have the tools to write and trace object oriented code, let’s get back to developing the project! In this first (real) part of the project, you will create an interactive graphical map that will display geospatial data. This is a highly interactive week, so make sure you’ve got Eclipse loaded up!  We encourage you to play around as you watch the videos.  Some of the code that we use in the videos is in the demos package in the starter code you set up for this course.  Open it up and experiment with it while you're watching the videos.  We also encourage you to dive right into the programming project, even before watching the videos, if you want.  The programming assignment instructions are in the last lesson of this week - you can watch a video walkthrough of the instructions and also read the step-by-step directions in the accompanying reading. There’s lots of room for creativity, too, so have fun!"
37,Graphical output: Creating GUIs and Displaying Data,6,https://www.coursera.org/learn/object-oriented-java,"Now that you’re in full swing with the project, let’s take a closer look at some concepts that you have already been using in your code.  Specifically, the keyword “extends”.  What exactly does it mean that your program “extends PApplet”? To answer this question we’ll need to dive into the details of how Java allows for Class Hierarchies through Inheritance and Polymorphism.  These fundamental and powerful concepts will serve you well in the future!  We’ll use these ideas to allow for displaying markers differently.  If you feel you’re already comfortable with Inheritance and Polymorphism, feel free to dive straight into the project (programming assignment) for this week.  As you work with the project, feel free to have some fun and introduce new levels of class hierarchies for improved functionality.    "
38,Inheritance,6,https://www.coursera.org/learn/object-oriented-java,"You’ve reached an exciting point in the project - in this week you’ll add interactivity to your map!  You’ll be learning how to design event-driven programs, using a new and powerful programming paradigm.  Your map will now respond to mouse hovers and clicks. As always, make sure you're writing code along with us as you watch the videos and work through the week.  Also, feel free to dive into the programming assignment (project) whenever you are ready"
39,GUIs: Responding to User Events,6,https://www.coursera.org/learn/object-oriented-java,"You've come a long way in this course, and you've got a great project to show for it. In this last module we'll shift gears a bit to talk about some very exciting and fundamental algorithms for finding and sorting data in an array.  Searching and sorting algorithms are not only fundamental to computer science, but also ideal for beginning to explore issues of algorithm efficiency. We will only begin to touch on issues of algorithm efficiency here.  We will say much more about it in the next course in this specialization, so we hope you will continue with us.   We'll also apply sorting to your project, and you'll wrap things up by finishing your project with an extension of your own choosing."
40,Searching and Sorting: From Code to Algorithms,6,https://www.coursera.org/learn/object-oriented-java,"UC San Diego is an academic powerhouse and economic engine, recognized as one of the top 10 public universities by U.S. News and World Report. Innovation is central to who we are and what we do. Here, students learn that knowledge isn't just acquired in the classroom—life is their laboratory."
41,Introduction to the Course,6,https://www.coursera.org/learn/data-structures-optimizing-performance,"This week we're going to dive into the course programming project.  In the first lesson you'll learn about Strings and Regular Expressions, and in the programming assignment this week you'll apply that knowledge to adding functionality to your text editor so that it can measure the ""readability"" of text by calculating something called the ""Flesch Readability Score"".  This course is focused on building code that not only does interesting things, but also finishes them quickly.  So, let's get started building some code!"
42,Working with Strings,6,https://www.coursera.org/learn/data-structures-optimizing-performance,"Welcome to week 3!  The text-editor application you worked with last week does something, but it doesn't do it particularly fast.  This week we'll start talking about efficiency.  We'll introduce the concept of ""Big-O"" notation, which sounds a little silly, but is really a powerful (and extremely common) way of analyzing a program's efficiency, independent of the system that it's running on and the exact details of how it's implemented.  Then we'll go the other direction and dive into the details, talking about how to measure the actual running time of a piece of code to get an idea of how it really performs in practice. "
43,Efficiency Analysis and Benchmarking,6,https://www.coursera.org/learn/data-structures-optimizing-performance,"This week we'll start talking about some of the basic concepts that one expects to find in a data structures course: the idea of data abstraction, and a data structure called a Linked List.  Even though Linked Lists are not very efficient structures (for the most part), they do hit home the idea of ""linking"" pieces of data together in your computer's memory, rather than storing the data in one contiguous region.  This linking idea will be central to many of the more advanced data structures, namely trees and graphs, that are coming up later in this course and in the next course in this specialization.  In this module you'll also learn tools and procedures for unit testing your code, which is a way to make sure that what you've written is correct, and a staple practice of any sophisticated software developer."
44,"Interfaces, Linked Lists vs. Arrays, and Correctness",6,https://www.coursera.org/learn/data-structures-optimizing-performance,"Welcome to week 4!  We know you've been working hard.  We hope you tried that optional Markov Text Generation programming assignment last week, but if not, no worries.  You can always go back and do it later (spoiler alert: it's pretty amazing that such a simple algorithm can produce such realistic text).  This week there's more fun (and hard work) as we learn about trees.  Trees rely on the same linked structure idea as Linked Lists, only they're MUCH faster (usually...).  In the project this week you'll add auto-complete to your text editor.  Believe us when we say it's so cool when you get it working!  You'll see... and we bet you can't wait for the programming assignment now.  :)"
45,Trees! (including Binary Search Trees and Tries),6,https://www.coursera.org/learn/data-structures-optimizing-performance,"You made it to the last week!  Congratulations on getting this far!  In this last week we'll be looking at a fundamental data structure called a Hash Table.  If you thought trees were fast, just wait until you see what Hash Tables can do!   Your last programming assignment will add spelling correction suggestions to your text editor, and there's an optional assignment that builds on the same ideas as the main assignment too, if you have the time and energy.  "
46,Hash Maps and Edit Distance,6,https://www.coursera.org/learn/data-structures-optimizing-performance,"UC San Diego is an academic powerhouse and economic engine, recognized as one of the top 10 public universities by U.S. News and World Report. Innovation is central to who we are and what we do. Here, students learn that knowledge isn't just acquired in the classroom—life is their laboratory."
47,Welcome and Project Overview: Visualizing Data,6,https://www.coursera.org/learn/object-oriented-java?specialization=java-object-oriented,"We hope you’re excited about the project that we're starting to build -- we sure are!  In this second part of this week, we'll walk you through setting up your system and working through your first assignment so you'll be having fun with it in no time. Before that though, we'll finish going over some of the fundamentals fundamentals of object oriented programming.  Specifically, being able to trace code is a key skill in becoming a stronger programmer. Like the end of last week, the first part of this week might be a bit of a review of material you already learned in your first Java programming course.  If that’s the case, you are always welcome to skip to the first graded assignment on Objects, Memory Models, and Scope."
48,"Memory Models, Scope, and Starting the Project",6,https://www.coursera.org/learn/object-oriented-java?specialization=java-object-oriented,"Now that you have the tools to write and trace object oriented code, let’s get back to developing the project! In this first (real) part of the project, you will create an interactive graphical map that will display geospatial data. This is a highly interactive week, so make sure you’ve got Eclipse loaded up!  We encourage you to play around as you watch the videos.  Some of the code that we use in the videos is in the demos package in the starter code you set up for this course.  Open it up and experiment with it while you're watching the videos.  We also encourage you to dive right into the programming project, even before watching the videos, if you want.  The programming assignment instructions are in the last lesson of this week - you can watch a video walkthrough of the instructions and also read the step-by-step directions in the accompanying reading. There’s lots of room for creativity, too, so have fun!"
49,Graphical output: Creating GUIs and Displaying Data,6,https://www.coursera.org/learn/object-oriented-java?specialization=java-object-oriented,"Now that you’re in full swing with the project, let’s take a closer look at some concepts that you have already been using in your code.  Specifically, the keyword “extends”.  What exactly does it mean that your program “extends PApplet”? To answer this question we’ll need to dive into the details of how Java allows for Class Hierarchies through Inheritance and Polymorphism.  These fundamental and powerful concepts will serve you well in the future!  We’ll use these ideas to allow for displaying markers differently.  If you feel you’re already comfortable with Inheritance and Polymorphism, feel free to dive straight into the project (programming assignment) for this week.  As you work with the project, feel free to have some fun and introduce new levels of class hierarchies for improved functionality.    "
50,Inheritance,6,https://www.coursera.org/learn/object-oriented-java?specialization=java-object-oriented,"You’ve reached an exciting point in the project - in this week you’ll add interactivity to your map!  You’ll be learning how to design event-driven programs, using a new and powerful programming paradigm.  Your map will now respond to mouse hovers and clicks. As always, make sure you're writing code along with us as you watch the videos and work through the week.  Also, feel free to dive into the programming assignment (project) whenever you are ready"
51,GUIs: Responding to User Events,6,https://www.coursera.org/learn/object-oriented-java?specialization=java-object-oriented,"You've come a long way in this course, and you've got a great project to show for it. In this last module we'll shift gears a bit to talk about some very exciting and fundamental algorithms for finding and sorting data in an array.  Searching and sorting algorithms are not only fundamental to computer science, but also ideal for beginning to explore issues of algorithm efficiency. We will only begin to touch on issues of algorithm efficiency here.  We will say much more about it in the next course in this specialization, so we hope you will continue with us.   We'll also apply sorting to your project, and you'll wrap things up by finishing your project with an extension of your own choosing."
52,Searching and Sorting: From Code to Algorithms,6,https://www.coursera.org/learn/object-oriented-java?specialization=java-object-oriented,"UC San Diego is an academic powerhouse and economic engine, recognized as one of the top 10 public universities by U.S. News and World Report. Innovation is central to who we are and what we do. Here, students learn that knowledge isn't just acquired in the classroom—life is their laboratory."
53,Introduction to the Course,6,https://www.coursera.org/learn/data-structures-optimizing-performance?specialization=java-object-oriented,"This week we're going to dive into the course programming project.  In the first lesson you'll learn about Strings and Regular Expressions, and in the programming assignment this week you'll apply that knowledge to adding functionality to your text editor so that it can measure the ""readability"" of text by calculating something called the ""Flesch Readability Score"".  This course is focused on building code that not only does interesting things, but also finishes them quickly.  So, let's get started building some code!"
54,Working with Strings,6,https://www.coursera.org/learn/data-structures-optimizing-performance?specialization=java-object-oriented,"Welcome to week 3!  The text-editor application you worked with last week does something, but it doesn't do it particularly fast.  This week we'll start talking about efficiency.  We'll introduce the concept of ""Big-O"" notation, which sounds a little silly, but is really a powerful (and extremely common) way of analyzing a program's efficiency, independent of the system that it's running on and the exact details of how it's implemented.  Then we'll go the other direction and dive into the details, talking about how to measure the actual running time of a piece of code to get an idea of how it really performs in practice. "
55,Efficiency Analysis and Benchmarking,6,https://www.coursera.org/learn/data-structures-optimizing-performance?specialization=java-object-oriented,"This week we'll start talking about some of the basic concepts that one expects to find in a data structures course: the idea of data abstraction, and a data structure called a Linked List.  Even though Linked Lists are not very efficient structures (for the most part), they do hit home the idea of ""linking"" pieces of data together in your computer's memory, rather than storing the data in one contiguous region.  This linking idea will be central to many of the more advanced data structures, namely trees and graphs, that are coming up later in this course and in the next course in this specialization.  In this module you'll also learn tools and procedures for unit testing your code, which is a way to make sure that what you've written is correct, and a staple practice of any sophisticated software developer."
56,"Interfaces, Linked Lists vs. Arrays, and Correctness",6,https://www.coursera.org/learn/data-structures-optimizing-performance?specialization=java-object-oriented,"Welcome to week 4!  We know you've been working hard.  We hope you tried that optional Markov Text Generation programming assignment last week, but if not, no worries.  You can always go back and do it later (spoiler alert: it's pretty amazing that such a simple algorithm can produce such realistic text).  This week there's more fun (and hard work) as we learn about trees.  Trees rely on the same linked structure idea as Linked Lists, only they're MUCH faster (usually...).  In the project this week you'll add auto-complete to your text editor.  Believe us when we say it's so cool when you get it working!  You'll see... and we bet you can't wait for the programming assignment now.  :)"
57,Trees! (including Binary Search Trees and Tries),6,https://www.coursera.org/learn/data-structures-optimizing-performance?specialization=java-object-oriented,"You made it to the last week!  Congratulations on getting this far!  In this last week we'll be looking at a fundamental data structure called a Hash Table.  If you thought trees were fast, just wait until you see what Hash Tables can do!   Your last programming assignment will add spelling correction suggestions to your text editor, and there's an optional assignment that builds on the same ideas as the main assignment too, if you have the time and energy.  "
58,Hash Maps and Edit Distance,6,https://www.coursera.org/learn/data-structures-optimizing-performance?specialization=java-object-oriented,"UC San Diego is an academic powerhouse and economic engine, recognized as one of the top 10 public universities by U.S. News and World Report. Innovation is central to who we are and what we do. Here, students learn that knowledge isn't just acquired in the classroom—life is their laboratory."
59,Introduction to the Course,6,https://www.coursera.org/learn/advanced-data-structures?specialization=java-object-oriented,"This week we'll start getting technical, introducing you to the central data structure in the course: Graphs.  You'll learn the basics and then have a chance to dive in a little deeper into the code, getting ready to start building that Google Maps-like application."
60,Introduction to Graphs,6,https://www.coursera.org/learn/advanced-data-structures?specialization=java-object-oriented,"This week you'll get the backbone of your map search engine up and running.  In previous courses, including the previous courses in this specialization, you've probably been given most of the classes you needed to complete the assignments.  But learning how to design classes from scratch is a key skill that you will need as you become a more sophisticated Java programmer.  This week we'll give you the tools you need to create a robust and elegant class design for your map search engine.  We'll introduce a similar problem and show you how it can be represented as a graph.  Then we'll introduce two core search algorithms: depth-first search and breadth-first search.  Finally, we'll turn our graph problem into a set of Java classes.   Your task on the programming assignment this week will be to do the same thing, but in the context on the map search engine!"
61,Class design and simple graph search,6,https://www.coursera.org/learn/advanced-data-structures?specialization=java-object-oriented,"In the past two weeks, you've developed a strong understanding of how to design classes to represent a graph and how to use a graph to represent a map.  In this week, you'll add a key feature of map data to our graph representation -- distances -- by adding weights to your edges to produce a ""weighted graph"".  Although this might seem like a small change, the algorithms that work for unweighted graphs may prove ineffective for weighted graphs.  To address this problem, you'll explore more advanced shortest path algorithms.  First, you'll see how to find the shortest path on a weighted graph, then you'll see how to find it more quickly.  In the project, you'll apply these ideas to create the core of any good mapping application: finding the shortest route from one location to another."
62,Finding shortest paths in weighted graphs,6,https://www.coursera.org/learn/advanced-data-structures?specialization=java-object-oriented,"In this week, we'll go beyond the problem of finding a path between two points, and focus on problems requiring overall path planning.  For example, if you wanted to go on errands and visit 6 different locations before returning home, what is the optimal route? This problem is actually a really well known problem in computer science known as the Travelling Salesperson Problem (TSP).  Attempting to solve the problem will lead us to explore complexity theory, what it means to be NP-Hard, and how to solve ""hard"" problems using heuristics and approximation algorithms.  We'll end the week by showing how reformulating a problem can have a huge impact: making something which was effectively unsolvable before, now solvable!  "
63,Route planning and NP-hard graph problems,6,https://www.coursera.org/learn/advanced-data-structures?specialization=java-object-oriented,"You made it to the last week of our course!  We're glad you're still with us.  As a reward, there's no new content to learn this week.  Instead you'll get the opportunity to extend your project in a direction of your own choosing.  We hope you've got some neat ideas for personalizing your map application, and we look forward to seeing them in the peer review gallery.  Submitting to the peer review gallery is optional (though the extension is required), but we hope you'll choose to participate.  "
64,End of Course Project Extension,6,https://www.coursera.org/learn/advanced-data-structures?specialization=java-object-oriented,"UC San Diego is an academic powerhouse and economic engine, recognized as one of the top 10 public universities by U.S. News and World Report. Innovation is central to who we are and what we do. Here, students learn that knowledge isn't just acquired in the classroom—life is their laboratory."
65,Welcome & What is a Software Engineering Interview?,6,https://www.coursera.org/learn/cs-tech-interview?specialization=java-object-oriented,
